Episode,TotalGlobalSteps,MeanActionJitter,MeanMechJitter,MeanLinearSpeed
167,0,0.087827,0.685184,0.764439
168,0,0.083534,0.626369,0.665800
169,0,0.088628,0.687350,0.703719
170,0,0.081556,0.604481,0.634644
171,0,0.031872,0.351165,0.569736
172,0,0.086714,0.727468,0.680937
173,0,0.093785,0.773377,0.813102
174,0,0.093978,0.705793,0.782099
175,0,0.097379,0.792420,0.895437
176,0,0.090615,0.715144,0.768222
177,0,0.082153,0.592145,0.797439
178,0,0.048036,0.445401,0.552174
179,0,0.092596,0.749697,0.857109
180,0,0.087211,0.706735,0.757239
181,0,0.092093,0.742690,0.936408
182,0,0.083595,0.712150,0.761893
183,0,0.091224,0.768088,0.777950
184,0,0.087425,0.733817,0.677957
185,0,0.093709,0.660062,0.618649
186,0,0.094248,0.746502,0.732030
187,0,0.087002,0.725206,0.825821
188,0,0.084893,0.650588,0.724225
189,0,0.092548,0.749568,0.816279
190,0,0.089338,0.701560,0.627027
191,0,0.091061,0.785620,0.739025
192,0,0.100637,0.807699,0.841538
193,0,0.096308,0.767934,0.874297
194,0,0.082839,0.667545,0.758358
195,0,0.095957,0.746832,0.964520
196,0,0.080781,0.662462,0.837812
197,0,0.095289,0.750090,0.717571
198,0,0.091166,0.728921,0.765835
199,0,0.090035,0.763895,0.726817
200,0,0.091560,0.733714,0.950857
201,0,0.082433,0.625331,0.621249
202,0,0.089444,0.719272,0.634873
203,0,0.095621,0.790634,0.813880
204,0,0.029385,0.410032,0.557669
205,0,0.083377,0.660516,0.756167
206,0,0.088829,0.692331,0.680796
207,0,0.086299,0.736976,0.788230
208,0,0.088436,0.719934,0.970793
209,0,0.084085,0.640576,0.634450
210,0,0.077824,0.625695,0.602334
211,0,0.088941,0.746457,0.945657
212,0,0.081643,0.646771,0.595819
213,0,0.091822,0.736670,0.773610
214,0,0.091025,0.771820,0.820508
215,0,0.096696,0.795600,0.946562
216,0,0.099474,0.860854,0.811988
217,0,0.091050,0.714264,0.799275
218,0,0.096777,0.780399,0.691826
219,0,0.091458,0.729156,0.832664
220,0,0.081507,0.669122,0.620172
221,0,0.073214,0.584081,0.809428
222,0,0.091056,0.816158,1.173958
223,0,0.087323,0.703940,0.749432
224,0,0.090352,0.775231,0.873839
225,0,0.084712,0.709956,0.673887
226,0,0.090168,0.773437,0.802190
227,0,0.099983,0.734796,1.011892
228,0,0.085768,0.676429,0.628584
229,0,0.073705,0.526003,0.942355
230,0,0.083106,0.645801,0.787042
231,0,0.084571,0.638321,0.595304
232,0,0.086315,0.716829,0.746299
233,0,0.087266,0.718602,0.705493
234,0,0.089361,0.720403,0.744986
235,0,0.088688,0.726575,0.749066
236,0,0.089597,0.752346,0.730803
237,0,0.088377,0.675182,0.725753
238,0,0.090527,0.738578,0.770110
239,0,0.082514,0.628116,0.624749
240,0,0.094475,0.768126,0.827694
241,0,0.094777,0.767193,0.830484
242,0,0.087536,0.724224,0.744530
243,0,0.086168,0.693220,0.646684
244,0,0.089714,0.715508,0.839411
245,0,0.093196,0.798501,0.996968
246,0,0.086533,0.678725,0.664594
247,0,0.093679,0.729453,1.059720
248,0,0.089691,0.748786,0.775210
249,0,0.085404,0.681784,0.669167
250,0,0.092986,0.742151,0.776955
251,0,0.088254,0.684781,0.731550
252,0,0.088577,0.705094,0.750683
253,0,0.093635,0.776383,0.826605
254,0,0.091963,0.745966,0.815472
255,0,0.092975,0.737365,0.781626
256,0,0.097020,0.790518,0.828462
257,0,0.093312,0.767490,0.794372
258,0,0.086222,0.701044,0.713655
259,0,0.085621,0.675143,0.789777
260,0,0.087247,0.687786,0.724053
261,0,0.087762,0.718385,0.729751
262,0,0.095005,0.760695,0.837257
263,0,0.088308,0.710546,0.732164
264,0,0.091122,0.755290,0.725911
265,0,0.087528,0.797107,0.984290
266,0,0.088879,0.691926,0.668009
267,0,0.029946,0.338176,0.556626
268,0,0.083846,0.631883,0.607616
269,0,0.097403,0.631661,0.807642
270,0,0.084548,0.668600,0.811835
271,0,0.090898,0.775193,0.712056
272,0,0.099954,0.799043,0.914646
273,0,0.089524,0.702645,0.649135
274,0,0.088816,0.712208,0.913226
275,0,0.089230,0.698185,0.657512
276,0,0.086956,0.698891,0.727961
277,0,0.086995,0.682411,0.766720
278,0,0.093155,0.757162,0.767668
279,0,0.092688,0.804101,0.905001
280,0,0.094195,0.823901,0.957165
281,0,0.082884,0.681729,0.693921
282,0,0.087483,0.663503,0.637176
283,0,0.092130,0.764429,0.773256
284,0,0.084097,0.664103,0.688335
285,0,0.086801,0.716333,0.657818
286,0,0.102386,0.819123,1.096868
287,0,0.086470,0.738750,0.707533
288,0,0.083242,0.613059,0.619699
289,0,0.086286,0.657136,0.724453
290,0,0.084429,0.659698,0.718425
291,0,0.084654,0.674220,0.703816
292,0,0.080005,0.653947,0.660575
293,0,0.084922,0.673643,0.626984
294,0,0.091786,0.781905,0.744405
295,0,0.091360,0.756015,0.743971
296,0,0.089579,0.718520,0.769782
297,0,0.082951,0.633647,0.700386
298,0,0.087426,0.731795,0.785993
299,0,0.086386,0.719515,0.938594
300,0,0.083404,0.675673,0.620487
301,0,0.087916,0.775962,0.880316
302,0,0.083675,0.663696,0.600937
303,0,0.081754,0.673847,0.624440
304,0,0.085469,0.702097,0.737076
305,0,0.087734,0.681897,0.757077
306,0,0.086831,0.736230,0.688476
307,0,0.087845,0.683980,0.672134
308,0,0.082764,0.643645,0.597567
309,0,0.080898,0.634123,0.655230
310,0,0.082508,0.639743,0.592071
311,0,0.087420,0.688851,0.751699
312,0,0.089320,0.682492,0.655927
313,0,0.082565,0.661575,0.660196
314,0,0.089456,0.739045,0.834896
