Episode,TotalGlobalSteps,MeanActionJitter,MeanMechJitter
218,0,0.6912373,7.239534
219,0,0.6051331,6.35111
220,0,0.6103619,7.116179
221,0,0.6637709,6.790573
222,0,0.708744,7.055506
223,0,0.6075057,7.003453
224,0,0.688002,7.742868
225,0,0.6729442,7.115655
226,0,0.5354548,5.805573
227,0,0.7730354,8.254682
228,0,0,17.49875
229,0,0.6261318,7.068508
230,0,0.6659045,7.032571
231,0,0.5788088,6.921241
232,0,0,16.59259
233,0,0.8023451,7.450137
234,0,0.6353822,6.803015
235,0,0.6121883,6.212865
236,0,0.7493274,7.216187
237,0,0.6876289,7.510587
238,0,0.7668861,7.830536
239,0,0.6777198,7.058269
240,0,0.6202931,6.112484
241,0,0.5595866,6.797964
242,0,0.6539602,7.584199
243,0,0,13.41614
244,0,0.5973427,6.951159
245,0,0.6500708,6.034558
246,0,0.8448911,8.509382
247,0,0.7048984,6.916329
248,0,0.7211238,6.912507
249,0,0.6797282,7.357373
250,0,0.6422784,6.922073
251,0,0.6371977,6.225073
252,0,0.5996737,6.475061
253,0,0.7593781,7.318925
254,0,0.6709077,6.684282
255,0,0.7035862,7.386405
256,0,0.6315762,7.055801
257,0,0.6207149,6.441644
258,0,0.6953296,7.028853
259,0,0.6499466,7.029989
260,0,0.6671196,6.80155
261,0,0.6517853,6.884338
262,0,0.7165673,7.35096
263,0,0.757868,7.062434
264,0,0.5732957,6.320789
265,0,0.7196443,7.368445
266,0,0.7148089,7.787718
267,0,0.7094089,7.470756
268,0,0.6957263,7.672306
269,0,0.635605,8.169242
270,0,0.7176326,7.029502
271,0,0.6565461,6.608759
272,0,0.6479644,8.133264
273,0,0.7242571,6.785388
274,0,0.6404513,6.376908
275,0,0.7548703,7.54439
276,0,0.8016254,7.60658
277,0,0.6465278,6.924455
278,0,0,18.00377
279,0,0.6018512,6.87754
280,0,0.5750293,7.026614
281,0,0.7586388,7.775438
282,0,0.65267,7.571593
283,0,0.7887944,7.877023
284,0,0.6677871,7.013185
285,0,0.6907764,6.943771
286,0,0.7074408,7.991313
287,0,0.7989315,7.615189
288,0,0,10.9269
289,0,0.6218764,6.118771
290,0,0,16.20596
291,0,0.613417,7.546677
292,0,0.7167568,6.84266
293,0,0,22.31738
294,0,0.7895443,7.898516
295,0,0,12.25434
296,0,0.8168992,6.7448
297,0,0.6606622,7.232384
298,0,0.7633231,8.025928
299,0,0.6060013,7.711071
300,0,0.5853067,6.241238
301,0,0.6680064,7.535038
302,0,0.7550042,7.020317
303,0,0.6781994,7.457582
304,0,0.8123836,8.806208
305,0,0.6508214,7.142312
306,0,0.7866617,7.916563
307,0,0.7565578,7.581726
308,0,0.7221868,7.485181
309,0,0.6405821,6.931299
310,0,0.6854047,7.509617
311,0,0.6555216,6.831599
312,0,0.6170735,6.179737
313,0,0.7360582,7.307472
314,0,0.7507279,7.282153
315,0,0.7474549,7.654375
316,0,0.7879348,7.8687
317,0,0.6833934,7.257155
318,0,0.7029845,8.146915
319,0,0.771101,7.928412
320,0,0.6784701,7.711469
321,0,0,12.19225
322,0,0.8146195,7.640245
323,0,0.772071,9.282715
324,0,0.8473116,8.499041
325,0,0,14.99211
326,0,0.527983,6.532088
327,0,0.7824822,6.962152
328,0,0.6666687,6.591667
329,0,0.7549527,8.230104
330,0,0.7300803,8.326316
331,0,0.5953971,6.066127
332,0,0.4802932,5.525605
333,0,0.6025056,6.07701
334,0,0.5419479,6.082139
335,0,0.5496036,6.259136
336,0,0.8410242,8.465178
337,0,0.9328862,7.825544
338,0,0.7443333,7.902405
339,0,0.734731,7.70261
