Episode,Steps,Success,CumulativeSuccessRate
1329,3084,1,97.14
1330,19,1,97.14
1331,801,1,97.15
1332,572,1,97.15
1333,79,1,97.15
1334,13,1,97.15
1335,299,1,97.15
1336,1026,1,97.16
1337,161,1,97.16
1338,444,1,97.16
1339,211,1,97.16
1340,980,1,97.16
1341,132,1,97.17
1342,562,1,97.17
1343,17,1,97.17
1344,193,1,97.17
1345,101,1,97.17
1346,1655,1,97.18
1347,55,1,97.18
1348,342,1,97.18
1349,86,1,97.18
1350,222,1,97.19
1351,132,1,97.19
1352,58,1,97.19
1353,940,1,97.19
1354,392,1,97.19
1355,423,1,97.20
1356,84,1,97.20
1357,37,1,97.20
1358,641,1,97.20
1359,358,1,97.20
1360,649,1,97.21
1361,39,1,97.21
1362,817,1,97.21
1363,5000,0,97.14
1364,764,1,97.14
1365,254,1,97.14
1366,226,1,97.14
1367,600,1,97.15
1368,337,1,97.15
1369,35,1,97.15
1370,4007,1,97.15
1371,334,1,97.16
1372,457,1,97.16
1373,1480,1,97.16
1374,30,1,97.16
1375,484,1,97.16
1376,270,1,97.17
1377,4830,1,97.17
1378,17,1,97.17
1379,427,1,97.17
1380,238,1,97.17
1381,660,1,97.18
1382,3,1,97.18
1383,377,1,97.18
1384,127,1,97.18
1385,760,1,97.18
1386,21,1,97.19
1387,30,1,97.19
1388,251,1,97.19
1389,78,1,97.19
1390,134,1,97.19
1391,20,1,97.20
1392,54,1,97.20
1393,74,1,97.20
1394,1783,1,97.20
1395,1168,1,97.20
1396,524,1,97.21
1397,937,1,97.21
1398,504,1,97.21
1399,15,1,97.21
1400,907,1,97.21
1401,1049,1,97.22
1402,467,1,97.22
1403,40,1,97.22
1404,834,1,97.22
1405,54,1,97.22
1406,429,1,97.23
1407,80,1,97.23
1408,3442,1,97.23
1409,163,1,97.23
1410,509,1,97.23
1411,5000,0,97.17
1412,1958,1,97.17
1413,35,1,97.17
1414,2747,1,97.17
1415,269,1,97.17
1416,52,1,97.18
1417,49,1,97.18
1418,3648,1,97.18
1419,77,1,97.18
1420,461,1,97.18
1421,1195,1,97.19
1422,534,1,97.19
1423,776,1,97.19
1424,90,1,97.19
1425,36,1,97.19
1426,14,1,97.19
1427,651,1,97.20
1428,585,1,97.20
1429,458,1,97.20
1430,292,1,97.20
1431,530,1,97.20
1432,87,1,97.21
1433,62,1,97.21
1434,27,1,97.21
1435,404,1,97.21
1436,64,1,97.21
1437,83,1,97.22
1438,2654,1,97.22
1439,4081,1,97.22
1440,300,1,97.22
1441,215,1,97.22
1442,1768,1,97.23
1443,20,1,97.23
1444,266,1,97.23
1445,1570,1,97.23
1446,630,1,97.23
1447,645,1,97.24
1448,19,1,97.24
1449,82,1,97.24
1450,377,1,97.24
1451,152,1,97.24
1452,2023,1,97.25
1453,464,1,97.25
1454,551,1,97.25
1455,366,1,97.25
1456,301,1,97.25
1457,40,1,97.25
1458,539,1,97.26
1459,215,1,97.26
1460,689,1,97.26
1461,22,1,97.26
1462,1250,1,97.26
1463,122,1,97.27
1464,47,1,97.27
1465,546,1,97.27
1466,481,1,97.27
1467,683,1,97.27
1468,47,1,97.28
1469,1881,1,97.28
1470,463,1,97.28
1471,1001,1,97.28
1472,5000,0,97.21
1473,411,1,97.22
1474,16,1,97.22
1475,316,1,97.22
1476,188,1,97.22
1477,77,1,97.22
1478,7,1,97.23
1479,423,1,97.23
1480,410,1,97.23
1481,72,1,97.23
1482,98,1,97.23
1483,5000,0,97.17
1484,124,1,97.17
1485,215,1,97.17
1486,1062,1,97.17
1487,2485,1,97.18
1488,697,1,97.18
1489,193,1,97.18
1490,693,1,97.18
1491,547,1,97.18
1492,532,1,97.18
1493,3673,1,97.19
1494,453,1,97.19
1495,464,1,97.19
1496,1220,1,97.19
1497,69,1,97.19
1498,122,1,97.20
1499,36,1,97.20
1500,3381,1,97.20
1501,73,1,97.20
1502,286,1,97.20
1503,1468,1,97.21
1504,241,1,97.21
1505,33,1,97.21
1506,140,1,97.21
1507,124,1,97.21
1508,31,1,97.21
1509,329,1,97.22
1510,145,1,97.22
1511,397,1,97.22
1512,67,1,97.22
1513,18,1,97.22
1514,79,1,97.23
1515,2099,1,97.23
1516,67,1,97.23
1517,19,1,97.23
1518,734,1,97.23
1519,332,1,97.24
1520,4505,1,97.24
1521,877,1,97.24
1522,12,1,97.24
1523,3264,1,97.24
1524,459,1,97.24
1525,379,1,97.25
1526,389,1,97.25
1527,1264,1,97.25
1528,140,1,97.25
1529,1706,1,97.25
1530,2056,1,97.25
1531,2770,1,97.26
1532,587,1,97.26
1533,117,1,97.26
1534,2043,1,97.26
1535,529,1,97.26
1536,658,1,97.27
1537,3243,1,97.27
1538,1258,1,97.27
1539,894,1,97.27
1540,41,1,97.27
1541,520,1,97.27
1542,66,1,97.28
1543,7,1,97.28
1544,3304,1,97.28
1545,99,1,97.28
1546,69,1,97.28
1547,1910,1,97.29
1548,97,1,97.29
1549,52,1,97.29
1550,164,1,97.29
1551,359,1,97.29
1552,328,1,97.29
1553,395,1,97.30
1554,1389,1,97.30
1555,656,1,97.30
1556,1007,1,97.30
1557,545,1,97.30
1558,608,1,97.30
1559,509,1,97.31
1560,451,1,97.31
1561,198,1,97.31
1562,68,1,97.31
1563,343,1,97.31
1564,383,1,97.31
1565,650,1,97.32
1566,591,1,97.32
1567,269,1,97.32
1568,5000,0,97.26
1569,36,1,97.26
1570,79,1,97.26
1571,1048,1,97.26
1572,227,1,97.26
1573,388,1,97.27
1574,13,1,97.27
1575,5000,0,97.21
1576,894,1,97.21
1577,516,1,97.21
1578,10,1,97.21
1579,492,1,97.21
1580,404,1,97.22
1581,783,1,97.22
1582,692,1,97.22
1583,43,1,97.22
1584,506,1,97.22
1585,5000,0,97.16
1586,157,1,97.16
1587,698,1,97.16
1588,402,1,97.17
1589,204,1,97.17
1590,61,1,97.17
1591,22,1,97.17
1592,15,1,97.17
1593,247,1,97.18
1594,169,1,97.18
1595,1615,1,97.18
1596,76,1,97.18
1597,580,1,97.18
1598,2597,1,97.18
1599,611,1,97.19
1600,89,1,97.19
1601,268,1,97.19
1602,1375,1,97.19
1603,516,1,97.19
1604,304,1,97.19
1605,280,1,97.20
1606,1768,1,97.20
1607,754,1,97.20
1608,59,1,97.20
1609,333,1,97.20
1610,273,1,97.20
1611,97,1,97.21
1612,1295,1,97.21
1613,5,1,97.21
1614,85,1,97.21
1615,3948,1,97.21
1616,160,1,97.22
1617,27,1,97.22
1618,55,1,97.22
1619,831,1,97.22
1620,86,1,97.22
1621,72,1,97.22
1622,71,1,97.23
1623,195,1,97.23
1624,573,1,97.23
1625,336,1,97.23
1626,425,1,97.23
1627,654,1,97.23
1628,253,1,97.24
1629,4290,1,97.24
1630,784,1,97.24
1631,444,1,97.24
1632,64,1,97.24
1633,139,1,97.24
1634,48,1,97.25
1635,75,1,97.25
1636,485,1,97.25
1637,232,1,97.25
1638,75,1,97.25
1639,5000,0,97.19
1640,1020,1,97.20
1641,1059,1,97.20
1642,720,1,97.20
1643,386,1,97.20
1644,1913,1,97.20
1645,1879,1,97.20
1646,1739,1,97.21
1647,552,1,97.21
1648,13,1,97.21
1649,1449,1,97.21
1650,2233,1,97.21
1651,313,1,97.21
1652,127,1,97.22
1653,10,1,97.22
1654,646,1,97.22
1655,452,1,97.22
1656,3035,1,97.22
1657,7,1,97.22
1658,67,1,97.23
1659,501,1,97.23
1660,1718,1,97.23
1661,13,1,97.23
1662,62,1,97.23
1663,1144,1,97.23
1664,101,1,97.24
1665,27,1,97.24
1666,1535,1,97.24
1667,3804,1,97.24
1668,872,1,97.24
1669,726,1,97.24
1670,42,1,97.25
1671,31,1,97.25
1672,1430,1,97.25
1673,713,1,97.25
1674,815,1,97.25
1675,310,1,97.25
1676,300,1,97.26
1677,1197,1,97.26
1678,53,1,97.26
1679,378,1,97.26
1680,1567,1,97.26
1681,116,1,97.26
1682,69,1,97.27
1683,95,1,97.27
1684,127,1,97.27
1685,700,1,97.27
1686,324,1,97.27
1687,5000,0,97.21
1688,3,1,97.22
1689,1432,1,97.22
1690,5000,0,97.16
1691,150,1,97.16
1692,8,1,97.16
1693,887,1,97.16
1694,3675,1,97.17
1695,755,1,97.17
1696,13,1,97.17
1697,349,1,97.17
1698,266,1,97.17
1699,503,1,97.17
1700,110,1,97.18
1701,1685,1,97.18
1702,211,1,97.18
1703,1213,1,97.18
1704,1787,1,97.18
1705,6,1,97.18
1706,52,1,97.19
1707,99,1,97.19
1708,216,1,97.19
1709,13,1,97.19
1710,501,1,97.19
1711,1996,1,97.19
1712,585,1,97.20
1713,33,1,97.20
1714,69,1,97.20
1715,380,1,97.20
1716,1198,1,97.20
1717,112,1,97.20
1718,593,1,97.21
1719,30,1,97.21
1720,925,1,97.21
1721,5000,0,97.15
1722,415,1,97.15
1723,252,1,97.16
1724,151,1,97.16
1725,1754,1,97.16
1726,37,1,97.16
1727,26,1,97.16
1728,2523,1,97.16
1729,357,1,97.17
1730,51,1,97.17
1731,5000,0,97.11
1732,31,1,97.11
1733,220,1,97.11
1734,109,1,97.12
1735,80,1,97.12
1736,15,1,97.12
1737,572,1,97.12
1738,623,1,97.12
1739,96,1,97.12
1740,1124,1,97.13
1741,1667,1,97.13
1742,160,1,97.13
1743,316,1,97.13
1744,23,1,97.13
1745,806,1,97.13
1746,818,1,97.14
1747,113,1,97.14
1748,5000,0,97.08
1749,33,1,97.08
1750,288,1,97.09
1751,165,1,97.09
1752,1068,1,97.09
1753,15,1,97.09
1754,698,1,97.09
1755,533,1,97.09
1756,554,1,97.10
1757,46,1,97.10
1758,1265,1,97.10
1759,973,1,97.10
1760,1395,1,97.10
1761,203,1,97.10
1762,125,1,97.11
1763,55,1,97.11
1764,1354,1,97.11
1765,1211,1,97.11
1766,259,1,97.11
1767,36,1,97.11
1768,321,1,97.12
1769,4752,1,97.12
1770,494,1,97.12
1771,11,1,97.12
1772,1524,1,97.12
1773,5000,0,97.07
1774,2550,1,97.07
1775,26,1,97.07
1776,1070,1,97.07
1777,255,1,97.07
1778,241,1,97.08
1779,33,1,97.08
1780,35,1,97.08
1781,132,1,97.08
1782,2993,1,97.08
1783,737,1,97.08
1784,14,1,97.09
1785,318,1,97.09
1786,657,1,97.09
1787,67,1,97.09
1788,3,1,97.09
1789,224,1,97.09
1790,1001,1,97.09
1791,89,1,97.10
1792,11,1,97.10
1793,631,1,97.10
1794,255,1,97.10
1795,157,1,97.10
1796,2033,1,97.10
1797,46,1,97.11
1798,49,1,97.11
1799,815,1,97.11
1800,494,1,97.11
1801,30,1,97.11
1802,1157,1,97.11
1803,115,1,97.12
1804,356,1,97.12
1805,1151,1,97.12
1806,11,1,97.12
1807,72,1,97.12
1808,167,1,97.12
1809,42,1,97.13
1810,233,1,97.13
1811,77,1,97.13
1812,136,1,97.13
1813,407,1,97.13
1814,34,1,97.13
1815,60,1,97.13
1816,120,1,97.14
1817,2319,1,97.14
1818,76,1,97.14
1819,15,1,97.14
1820,73,1,97.14
1821,793,1,97.14
1822,592,1,97.15
1823,9,1,97.15
1824,54,1,97.15
1825,371,1,97.15
1826,182,1,97.15
1827,61,1,97.15
1828,505,1,97.16
1829,1856,1,97.16
1830,694,1,97.16
1831,97,1,97.16
1832,228,1,97.16
1833,642,1,97.16
1834,322,1,97.16
1835,49,1,97.17
1836,21,1,97.17
1837,1694,1,97.17
1838,768,1,97.17
1839,95,1,97.17
1840,1082,1,97.17
1841,2613,1,97.18
1842,83,1,97.18
1843,161,1,97.18
1844,29,1,97.18
1845,111,1,97.18
1846,1437,1,97.18
1847,2424,1,97.18
1848,645,1,97.19
1849,1113,1,97.19
1850,561,1,97.19
1851,129,1,97.19
1852,1150,1,97.19
1853,49,1,97.19
1854,5000,0,97.14
1855,70,1,97.14
1856,1289,1,97.14
1857,479,1,97.15
1858,16,1,97.15
1859,786,1,97.15
1860,918,1,97.15
1861,2415,1,97.15
1862,24,1,97.15
1863,45,1,97.16
1864,437,1,97.16
1865,2665,1,97.16
1866,154,1,97.16
1867,288,1,97.16
1868,1968,1,97.16
1869,2044,1,97.16
1870,446,1,97.17
1871,788,1,97.17
1872,116,1,97.17
1873,263,1,97.17
1874,695,1,97.17
1875,281,1,97.17
1876,537,1,97.17
1877,135,1,97.18
1878,5000,0,97.12
1879,34,1,97.13
1880,576,1,97.13
1881,279,1,97.13
1882,158,1,97.13
1883,51,1,97.13
1884,17,1,97.13
1885,927,1,97.14
1886,1157,1,97.14
1887,528,1,97.14
1888,22,1,97.14
1889,1172,1,97.14
1890,691,1,97.14
1891,70,1,97.14
1892,210,1,97.15
1893,37,1,97.15
1894,631,1,97.15
1895,186,1,97.15
1896,618,1,97.15
1897,305,1,97.15
1898,82,1,97.15
1899,1510,1,97.16
1900,837,1,97.16
1901,31,1,97.16
1902,535,1,97.16
1903,333,1,97.16
1904,902,1,97.16
1905,1322,1,97.17
1906,4,1,97.17
1907,188,1,97.17
1908,1970,1,97.17
1909,714,1,97.17
1910,36,1,97.17
1911,1187,1,97.17
1912,5000,0,97.12
1913,2947,1,97.12
1914,550,1,97.13
1915,33,1,97.13
1916,564,1,97.13
1917,1284,1,97.13
1918,617,1,97.13
1919,10,1,97.13
1920,528,1,97.14
1921,367,1,97.14
1922,1273,1,97.14
1923,12,1,97.14
1924,234,1,97.14
1925,114,1,97.14
1926,667,1,97.14
1927,134,1,97.15
1928,78,1,97.15
1929,457,1,97.15
1930,212,1,97.15
1931,1195,1,97.15
1932,1869,1,97.15
1933,42,1,97.15
1934,842,1,97.16
1935,316,1,97.16
1936,109,1,97.16
1937,17,1,97.16
1938,1696,1,97.16
1939,1614,1,97.16
1940,859,1,97.16
1941,29,1,97.17
1942,1199,1,97.17
1943,639,1,97.17
1944,773,1,97.17
1945,462,1,97.17
1946,580,1,97.17
1947,1328,1,97.18
1948,1856,1,97.18
1949,908,1,97.18
1950,17,1,97.18
1951,190,1,97.18
1952,577,1,97.18
1953,2430,1,97.18
1954,7,1,97.19
1955,880,1,97.19
1956,268,1,97.19
1957,82,1,97.19
1958,36,1,97.19
1959,668,1,97.19
1960,80,1,97.19
1961,339,1,97.20
1962,495,1,97.20
1963,245,1,97.20
1964,722,1,97.20
1965,194,1,97.20
1966,1307,1,97.20
1967,258,1,97.20
1968,405,1,97.21
1969,129,1,97.21
1970,584,1,97.21
1971,949,1,97.21
1972,41,1,97.21
1973,5000,0,97.16
1974,387,1,97.16
1975,1115,1,97.16
1976,59,1,97.17
1977,156,1,97.17
1978,492,1,97.17
1979,192,1,97.17
1980,75,1,97.17
1981,25,1,97.17
1982,612,1,97.17
1983,788,1,97.18
1984,157,1,97.18
1985,98,1,97.18
1986,317,1,97.18
1987,677,1,97.18
1988,453,1,97.18
1989,999,1,97.18
1990,54,1,97.19
1991,899,1,97.19
1992,179,1,97.19
1993,49,1,97.19
1994,620,1,97.19
1995,241,1,97.19
1996,361,1,97.19
1997,879,1,97.20
1998,4,1,97.20
1999,59,1,97.20
2000,103,1,97.20
