Episode,Steps,Success,CumulativeSuccessRate
311,605,1,98.07
312,14,1,98.08
313,842,1,98.08
314,804,1,98.09
315,61,1,98.10
316,129,1,98.10
317,1841,1,98.11
318,1031,1,98.11
319,140,1,98.12
320,1468,1,98.13
321,1561,1,98.13
322,53,1,98.14
323,461,1,98.14
324,4136,1,98.15
325,583,1,98.15
326,814,1,98.16
327,1956,1,98.17
328,704,1,98.17
329,3374,1,98.18
330,1211,1,98.18
331,1613,1,98.19
332,462,1,98.19
333,513,1,98.20
334,3,1,98.20
335,50,1,98.21
336,180,1,98.21
337,1241,1,98.22
338,223,1,98.22
339,43,1,98.23
340,165,1,98.24
341,1747,1,98.24
342,35,1,98.25
343,20,1,98.25
344,957,1,98.26
345,5000,0,97.97
346,47,1,97.98
347,2,1,97.98
348,1547,1,97.99
349,811,1,97.99
350,208,1,98.00
351,9,1,98.01
352,67,1,98.01
353,395,1,98.02
354,1669,1,98.02
355,936,1,98.03
356,734,1,98.03
357,194,1,98.04
358,2747,1,98.04
359,535,1,98.05
360,695,1,98.06
361,1543,1,98.06
362,678,1,98.07
363,58,1,98.07
364,17,1,98.08
365,67,1,98.08
366,1330,1,98.09
367,88,1,98.09
368,890,1,98.10
369,370,1,98.10
370,48,1,98.11
371,77,1,98.11
372,471,1,98.12
373,49,1,98.12
374,656,1,98.13
375,384,1,98.13
376,273,1,98.14
377,54,1,98.14
378,15,1,98.15
379,65,1,98.15
380,441,1,98.16
381,38,1,98.16
382,236,1,98.17
383,257,1,98.17
384,462,1,98.18
385,5000,0,97.92
386,13,1,97.93
387,176,1,97.93
388,1129,1,97.94
389,5000,0,97.69
390,39,1,97.69
391,34,1,97.70
392,3061,1,97.70
393,1804,1,97.71
394,511,1,97.72
395,19,1,97.72
396,870,1,97.73
397,305,1,97.73
398,347,1,97.74
399,19,1,97.74
400,426,1,97.75
401,243,1,97.76
402,230,1,97.76
403,472,1,97.77
404,283,1,97.77
405,254,1,97.78
406,5000,0,97.54
407,65,1,97.54
408,39,1,97.55
409,2877,1,97.56
410,235,1,97.56
411,68,1,97.57
412,1675,1,97.57
413,15,1,97.58
414,199,1,97.58
415,119,1,97.59
416,2924,1,97.60
417,17,1,97.60
418,2901,1,97.61
419,2804,1,97.61
420,1161,1,97.62
421,36,1,97.62
422,610,1,97.63
423,535,1,97.64
424,861,1,97.64
425,395,1,97.65
426,133,1,97.65
427,500,1,97.66
428,163,1,97.66
429,1348,1,97.67
430,100,1,97.67
431,204,1,97.68
432,91,1,97.69
433,168,1,97.69
434,8,1,97.70
435,82,1,97.70
436,865,1,97.71
437,3727,1,97.71
438,119,1,97.72
439,595,1,97.72
440,920,1,97.73
441,676,1,97.73
442,172,1,97.74
443,96,1,97.74
444,37,1,97.75
445,228,1,97.75
446,2921,1,97.76
447,701,1,97.76
448,235,1,97.77
449,178,1,97.77
450,2098,1,97.78
451,622,1,97.78
452,236,1,97.79
453,2565,1,97.79
454,187,1,97.80
455,644,1,97.80
456,132,1,97.81
457,63,1,97.81
458,1829,1,97.82
459,174,1,97.82
460,2208,1,97.83
461,24,1,97.83
462,480,1,97.84
463,334,1,97.84
464,108,1,97.84
465,4,1,97.85
466,429,1,97.85
467,474,1,97.86
468,168,1,97.86
469,556,1,97.87
470,102,1,97.87
471,519,1,97.88
472,406,1,97.88
473,131,1,97.89
474,1722,1,97.89
475,328,1,97.89
476,123,1,97.90
477,1006,1,97.90
478,6,1,97.91
479,632,1,97.91
480,102,1,97.92
481,2923,1,97.92
482,17,1,97.93
483,41,1,97.93
484,5000,0,97.73
485,1684,1,97.73
486,35,1,97.74
487,61,1,97.74
488,38,1,97.75
489,855,1,97.75
490,43,1,97.76
491,993,1,97.76
492,27,1,97.76
493,535,1,97.77
494,2744,1,97.77
495,319,1,97.78
496,38,1,97.78
497,224,1,97.79
498,319,1,97.79
499,413,1,97.80
500,84,1,97.80
501,161,1,97.80
502,256,1,97.81
503,360,1,97.81
504,5000,0,97.62
505,31,1,97.62
506,1150,1,97.63
507,56,1,97.63
508,67,1,97.64
509,7,1,97.64
510,485,1,97.65
511,5000,0,97.46
512,131,1,97.46
513,41,1,97.47
514,650,1,97.47
515,1321,1,97.48
516,1069,1,97.48
517,363,1,97.49
518,93,1,97.49
519,230,1,97.50
520,190,1,97.50
521,1201,1,97.50
522,16,1,97.51
523,39,1,97.51
524,149,1,97.52
525,3670,1,97.52
526,17,1,97.53
527,37,1,97.53
528,1347,1,97.54
529,54,1,97.54
530,12,1,97.55
531,775,1,97.55
532,54,1,97.56
533,1307,1,97.56
534,232,1,97.57
535,48,1,97.57
536,51,1,97.57
537,1570,1,97.58
538,1006,1,97.58
539,357,1,97.59
540,56,1,97.59
541,123,1,97.60
542,664,1,97.60
543,61,1,97.61
544,17,1,97.61
545,4073,1,97.61
546,334,1,97.62
547,209,1,97.62
548,30,1,97.63
549,68,1,97.63
550,820,1,97.64
551,69,1,97.64
552,50,1,97.64
553,33,1,97.65
554,773,1,97.65
555,94,1,97.66
556,140,1,97.66
557,83,1,97.67
558,421,1,97.67
559,239,1,97.67
560,808,1,97.68
561,491,1,97.68
562,90,1,97.69
563,126,1,97.69
564,179,1,97.70
565,22,1,97.70
566,40,1,97.70
567,57,1,97.71
568,209,1,97.71
569,1531,1,97.72
570,1065,1,97.72
571,38,1,97.72
572,118,1,97.73
573,43,1,97.73
574,40,1,97.74
575,937,1,97.74
576,2602,1,97.74
577,61,1,97.75
578,31,1,97.75
579,23,1,97.75
580,55,1,97.76
581,350,1,97.76
582,49,1,97.77
583,987,1,97.77
584,78,1,97.77
585,418,1,97.78
586,3954,1,97.78
587,50,1,97.79
588,257,1,97.79
589,222,1,97.79
590,325,1,97.80
591,193,1,97.80
592,9,1,97.80
593,3520,1,97.81
594,97,1,97.81
595,437,1,97.82
596,24,1,97.82
597,260,1,97.82
598,616,1,97.83
599,478,1,97.83
600,1404,1,97.83
601,57,1,97.84
602,1179,1,97.84
603,5000,0,97.68
604,29,1,97.68
605,18,1,97.69
606,313,1,97.69
607,110,1,97.69
608,1769,1,97.70
609,4,1,97.70
610,1390,1,97.70
611,100,1,97.71
612,429,1,97.71
613,587,1,97.72
614,51,1,97.72
615,99,1,97.72
616,57,1,97.73
617,520,1,97.73
618,655,1,97.73
619,2448,1,97.74
620,411,1,97.74
621,927,1,97.75
622,150,1,97.75
623,896,1,97.75
624,247,1,97.76
625,347,1,97.76
626,363,1,97.76
627,3418,1,97.77
628,187,1,97.77
629,574,1,97.77
630,179,1,97.78
631,2915,1,97.78
632,111,1,97.78
633,1866,1,97.79
634,208,1,97.79
635,34,1,97.80
636,43,1,97.80
637,3854,1,97.80
638,132,1,97.81
639,342,1,97.81
640,1032,1,97.81
641,2156,1,97.82
642,1007,1,97.82
643,1139,1,97.82
644,795,1,97.83
645,363,1,97.83
646,1306,1,97.83
647,41,1,97.84
648,25,1,97.84
649,266,1,97.84
650,142,1,97.85
651,1286,1,97.85
652,1449,1,97.85
653,16,1,97.86
654,5000,0,97.71
655,210,1,97.71
656,83,1,97.71
657,17,1,97.72
658,4716,1,97.72
659,246,1,97.72
660,1055,1,97.73
661,334,1,97.73
662,44,1,97.73
663,903,1,97.74
664,758,1,97.74
665,117,1,97.74
666,187,1,97.75
667,408,1,97.75
668,853,1,97.75
669,116,1,97.76
670,774,1,97.76
671,32,1,97.76
672,825,1,97.77
673,74,1,97.77
674,462,1,97.77
675,1598,1,97.78
676,274,1,97.78
677,102,1,97.78
678,266,1,97.79
679,5000,0,97.64
680,236,1,97.65
681,224,1,97.65
682,553,1,97.65
683,611,1,97.66
684,1243,1,97.66
685,249,1,97.66
686,430,1,97.67
687,1073,1,97.67
688,131,1,97.67
689,65,1,97.68
690,574,1,97.68
691,55,1,97.68
692,985,1,97.69
693,50,1,97.69
694,285,1,97.69
695,2650,1,97.70
696,20,1,97.70
697,89,1,97.70
698,168,1,97.71
699,444,1,97.71
700,2237,1,97.71
701,1319,1,97.72
702,5000,0,97.58
703,183,1,97.58
704,304,1,97.59
705,1199,1,97.59
706,53,1,97.59
707,379,1,97.60
708,405,1,97.60
709,888,1,97.60
710,24,1,97.61
711,675,1,97.61
712,693,1,97.61
713,1624,1,97.62
714,1539,1,97.62
715,217,1,97.62
716,506,1,97.63
717,162,1,97.63
718,769,1,97.63
719,799,1,97.64
720,653,1,97.64
721,59,1,97.64
722,35,1,97.65
723,1035,1,97.65
724,417,1,97.65
725,72,1,97.66
726,2884,1,97.66
727,329,1,97.66
728,374,1,97.66
729,1519,1,97.67
730,763,1,97.67
731,101,1,97.67
732,363,1,97.68
733,3747,1,97.68
734,540,1,97.68
735,99,1,97.69
736,16,1,97.69
737,72,1,97.69
738,612,1,97.70
739,213,1,97.70
740,446,1,97.70
741,119,1,97.71
742,155,1,97.71
743,3054,1,97.71
744,1033,1,97.72
