Episode,TotalGlobalSteps,MeanActionJitter,MeanMechJitter,MeanLinearSpeed
167,0,0.120587,1.082959,1.476680
168,0,0.110310,1.137336,1.071149
169,0,0.118343,1.164641,1.404296
170,0,0.115971,0.960898,1.016294
171,0,0.133679,1.264041,1.071087
172,0,0.119117,1.195315,1.455781
173,0,0.136402,1.145206,1.189826
174,0,0.128173,1.244632,1.255281
175,0,0.125843,1.311068,1.148772
176,0,0.142883,1.390068,1.042039
177,0,0.118201,1.131795,1.194810
178,0,0.116509,1.018471,1.314461
179,0,0.113222,1.087884,0.977557
180,0,0.138796,1.353015,1.400617
181,0,0.144383,1.541883,1.476671
182,0,0.114620,1.184563,1.371921
183,0,0.178306,1.473913,1.073620
184,0,0.115593,1.004054,1.282180
185,0,0.134646,1.215493,1.164449
186,0,0.137653,1.454354,1.216143
187,0,0.119457,1.159269,1.249132
188,0,0.142422,1.532494,1.594391
189,0,0.135080,1.328090,0.929539
190,0,0.137051,1.467753,1.646653
191,0,0.129771,1.175189,1.229060
192,0,0.122294,1.254539,1.259001
193,0,0.133368,1.235268,1.050471
194,0,0.118534,1.045685,1.120804
195,0,0.149119,1.424866,0.995538
196,0,0.121113,1.178558,1.099591
197,0,0.117849,1.224633,1.242974
198,0,0.136678,1.274075,0.893759
199,0,0.158763,1.494558,0.928440
200,0,0.159576,1.450962,0.937848
201,0,0.119823,1.028954,0.955977
202,0,0.111253,1.032579,0.857363
203,0,0.111280,1.117172,1.020289
204,0,0.114192,1.206526,1.268453
205,0,0.108614,1.105245,1.388378
206,0,0.127132,1.261929,1.390896
207,0,0.119171,0.999741,1.165163
208,0,0.123497,1.233814,1.192240
209,0,0.117682,1.178832,0.982131
210,0,0.123645,1.081542,1.198590
211,0,0.126904,1.169800,1.466264
212,0,0.135472,1.273272,1.139750
213,0,0.115406,1.056971,1.161679
214,0,0.128018,1.110243,1.182300
215,0,0.113929,1.060926,1.045893
216,0,0.139823,1.332757,1.353962
217,0,0.121980,1.085353,1.240049
218,0,0.120606,1.076763,1.407276
219,0,0.102162,0.931098,1.333016
220,0,0.132625,1.357877,1.251520
221,0,0.108660,0.940976,0.903610
222,0,0.121956,1.072371,1.220871
223,0,0.138126,1.286566,1.262495
224,0,0.115956,1.152513,1.178739
225,0,0.126297,1.235353,1.029900
226,0,0.145940,1.314716,0.888565
227,0,0.122404,1.193740,1.271814
228,0,0.128871,1.254182,1.291505
229,0,0.123125,1.050881,1.102072
