Episode,Captures,EscortRate,RoleDiversityRate,AvgCarrierSurvivalTime,EpisodeLength
158,1,0.0000,1.3365,12.14,526
159,1,0.0000,1.4586,11.94,724
160,1,0.0000,1.8123,11.90,522
161,1,0.0000,1.3636,10.70,539
162,1,0.0000,1.7831,9.74,770
163,1,0.0000,1.5141,9.14,531
164,1,0.0000,1.9853,9.26,543
165,1,0.0536,1.8270,13.52,821
166,1,0.0000,1.5641,16.94,968
167,1,0.0000,1.6224,11.80,482
168,1,0.0000,1.9810,10.02,631
169,1,0.2460,1.6440,10.28,500
170,1,0.0385,1.7398,11.30,884
171,1,0.3547,1.5021,11.00,468
172,1,0.3135,1.3115,9.58,488
173,1,0.0000,1.9167,9.08,468
174,1,0.2521,1.9280,10.72,472
175,1,0.0320,1.5457,11.32,656
176,1,0.2339,1.4503,15.26,744
177,1,0.1318,1.4815,12.66,569
178,1,0.4816,1.8138,18.18,843
179,1,0.2793,1.8433,11.14,734
180,1,0.0000,1.7666,14.68,604
181,1,0.1431,1.2462,9.78,524
182,1,0.0000,1.9335,12.04,737
183,1,0.0000,1.9130,11.78,529
184,1,0.0484,1.7613,11.98,599
185,1,0.1922,1.9176,12.12,619
186,1,0.0000,1.9749,12.82,517
187,1,0.0126,1.9258,15.54,633
188,1,0.0000,1.7636,8.78,550
189,1,0.0000,1.4312,13.38,1018
190,1,0.0395,1.7781,15.58,1113
191,1,0.0000,1.7019,19.92,701
192,1,0.0843,1.7002,13.12,617
193,1,0.1268,1.3858,6.04,749
194,1,0.1402,1.5994,11.62,956
195,1,0.0000,1.4259,11.32,479
196,1,0.0000,1.6357,13.32,538
197,1,0.0943,1.6089,7.32,583
198,1,0.0000,1.2581,9.54,527
199,1,0.1386,1.3604,10.18,541
200,1,0.0000,1.9870,10.92,462
201,1,0.0000,1.9297,10.44,583
202,1,0.0590,1.6092,9.74,458
203,1,0.0487,1.0398,20.42,1130
204,1,0.0000,1.4105,11.14,626
205,1,0.1544,1.7422,10.00,609
206,1,0.0117,1.2533,12.22,600
207,1,0.0183,1.4369,9.72,547
208,1,0.0000,1.7724,10.92,536
209,1,0.0838,1.9795,7.22,537
210,1,0.0946,1.9332,13.02,539
211,1,0.0000,1.4627,5.32,456
212,1,0.1531,1.8714,13.32,653
213,1,0.0000,1.5214,13.14,562
214,1,0.0000,1.5679,8.18,560
215,1,0.1637,1.5288,12.20,556
216,1,0.0000,1.5678,9.18,553
217,1,0.0667,0.9219,9.90,525
218,1,0.0000,1.8879,9.86,473
219,1,0.2500,1.7839,13.88,768
220,1,0.2901,1.4742,13.86,717
221,1,0.4854,0.8246,15.94,958
222,1,0.1344,1.7026,10.46,454
223,1,0.0000,1.9609,9.62,511
224,1,0.4754,1.5451,16.74,732
225,1,0.0000,1.9431,11.90,545
226,1,0.1685,1.7865,12.36,534
227,1,0.0697,1.8093,8.30,603
228,1,0.0000,1.3357,15.26,554
229,1,0.0000,1.8030,8.44,467
230,1,0.2171,1.5426,10.80,774
231,1,0.0000,1.8826,10.42,511
232,1,0.0000,1.7979,10.04,470
233,1,0.4106,1.0014,14.22,733
234,1,0.0000,1.6577,11.96,482
235,1,0.0000,1.1297,9.72,586
236,1,0.0893,1.2299,10.52,448
237,1,0.0000,1.5446,12.04,527
238,1,0.1173,1.7711,14.84,878
239,1,0.2420,1.0294,12.74,748
240,1,0.0000,1.5519,10.36,578
241,1,0.0902,1.7293,7.70,665
242,1,0.2875,1.6997,15.54,706
243,1,0.0888,1.6049,12.64,529
244,1,0.0136,1.7407,12.72,513
245,1,0.5589,1.2221,12.00,671
246,1,0.0000,1.9427,11.66,715
247,1,0.0000,1.8475,11.92,505
248,1,0.1599,1.4459,12.14,832
249,1,0.0609,1.9649,12.62,542
250,1,0.0577,1.6540,8.86,607
251,1,0.2423,1.7337,11.74,582
252,1,0.1872,0.9927,9.02,545
253,1,0.0186,1.6531,13.84,539
254,1,0.0000,1.9222,10.30,668
255,1,0.0184,1.6379,13.96,544
256,1,0.2182,1.6883,14.66,770
257,1,0.0000,1.7359,10.88,708
258,1,0.2540,1.9173,11.12,496
259,1,0.1153,1.3898,13.16,885
260,1,0.0000,1.7265,9.46,585
261,1,0.0096,1.6282,11.82,624
262,1,0.0000,1.7420,11.84,566
263,1,0.0000,1.9206,11.04,466
264,1,0.0714,1.4145,7.96,1064
265,1,0.0292,1.7615,8.92,650
266,1,0.0000,1.3589,10.18,443
267,1,0.0462,1.2692,12.08,520
268,1,0.3595,1.0258,12.74,815
269,1,0.0000,1.1083,6.60,517
270,1,0.2378,1.9844,11.98,576
271,1,0.2435,1.4016,13.02,620
272,1,0.0187,1.8849,11.52,643
273,1,0.0050,1.5395,16.96,1190
274,1,0.1165,1.7701,13.26,635
275,1,0.0074,1.8071,13.12,539
276,1,0.0430,1.5385,13.46,767
277,1,0.0000,1.7308,12.48,520
278,1,0.1237,1.8256,16.82,671
279,1,0.0000,1.5073,12.70,613
280,1,0.0000,1.9786,9.16,701
281,1,0.0000,1.5848,9.60,513
282,1,0.0942,1.1756,10.40,467
283,1,0.0924,1.0393,8.02,866
284,1,0.0244,1.6775,11.04,738
285,1,0.0000,1.5959,12.08,537
286,1,0.2548,1.8071,17.06,840
287,1,0.0960,1.5067,10.26,521
288,1,0.4834,1.7104,9.96,511
289,1,0.0000,1.6600,10.86,450
290,1,0.2188,1.8535,12.06,553
291,1,0.0000,1.7168,15.26,731
292,1,0.0000,1.4330,11.84,843
293,1,0.0000,1.7094,7.42,530
294,1,0.0844,1.6889,15.36,569
295,1,0.0614,1.9503,11.62,684
296,1,0.2393,1.6365,13.48,773
297,1,0.1258,1.4829,14.20,644
298,1,0.4457,1.9718,11.14,709
299,1,0.1750,1.3291,12.26,857
300,1,0.0000,1.2304,8.10,803
301,1,0.0000,1.8328,10.86,640
302,1,0.0000,1.9130,15.60,632
303,1,0.0000,1.6166,7.60,519
304,1,0.0000,1.3884,12.72,533
305,1,0.6910,1.0213,15.72,657
306,1,0.4424,1.7813,12.86,599
307,1,0.2235,1.9721,9.12,537
308,1,0.0000,1.4151,13.38,877
309,1,0.0000,1.6176,12.72,510
310,1,0.1925,1.2013,8.66,909
311,1,0.3830,0.9754,15.72,731
312,1,0.2259,1.3194,12.78,1005
313,1,0.1698,1.5438,11.86,754
314,1,0.1154,0.7724,12.54,624
315,1,0.0196,1.6527,9.80,714
316,1,0.3018,0.6954,11.06,719
317,1,0.0000,1.5314,10.06,493
318,1,0.0653,1.6699,8.32,521
319,1,0.0000,1.4237,10.62,439
320,1,0.0000,1.4504,7.00,564
321,1,0.2295,1.5958,8.10,475
322,1,0.0000,1.9417,12.32,497
323,1,0.1693,1.2977,8.94,561
324,1,0.0000,1.5665,12.74,519
325,1,0.0377,1.3748,9.22,531
326,1,0.0235,1.5921,10.84,554
327,1,0.0000,1.9144,6.92,479
328,1,0.0952,1.9707,9.72,546
329,1,0.1932,1.5235,10.40,533
330,1,0.3347,1.5074,13.06,741
331,1,0.1630,1.2489,13.74,675
332,1,0.0000,1.7916,12.64,523
333,1,0.0000,1.9535,11.24,452
334,1,0.1774,1.4604,6.56,530
335,1,0.0000,1.4488,18.40,722
336,1,0.0000,1.9602,12.40,527
337,1,0.0000,1.7347,11.30,539
338,1,0.0000,1.8723,9.16,611
339,1,0.3040,1.8912,11.16,625
340,1,0.2462,1.5885,9.16,520
341,1,0.0000,1.4721,13.40,627
342,1,0.1962,1.5256,8.32,586
343,1,0.2325,1.8201,14.54,856
344,1,0.0000,1.0090,9.68,779
345,1,0.0713,1.4635,9.28,561
346,1,0.0067,1.1853,5.98,599
347,1,0.0526,1.3724,10.30,760
348,1,0.0000,1.6346,9.40,602
349,1,0.3214,1.7613,14.34,532
350,1,0.1261,1.8845,9.44,658
351,1,0.0000,1.7077,11.14,568
352,1,0.0000,1.6466,11.66,498
353,1,0.0916,1.2894,12.18,622
354,1,0.1037,1.9813,9.00,588
355,1,0.1390,1.5577,13.00,633
356,1,0.0000,1.6962,10.16,530
357,1,0.1344,1.8391,11.94,640
358,1,0.0000,1.2672,7.02,479
359,1,0.4586,1.4931,15.34,580
360,1,0.0000,1.9755,12.02,531
361,1,0.0000,1.4213,9.24,572
362,1,0.0858,0.9129,11.92,769
363,1,0.0867,1.7878,14.20,542
364,1,0.2762,1.8313,14.38,735
365,1,0.0505,1.9729,13.26,554
366,1,0.0000,1.4847,12.84,524
367,1,0.1084,0.9899,15.82,895
368,1,0.0000,1.3469,9.64,542
369,1,0.5717,1.5105,11.06,572
