Episode,Captures,EscortRate,RoleDiversityRate,AvgCarrierSurvivalTime,EpisodeLength
158,1,0.0000,1.8415,7.72,751
159,1,0.1295,1.6219,11.70,857
160,1,0.2301,1.5381,12.68,591
161,1,0.0000,1.1005,13.54,995
162,1,0.0000,1.4420,11.52,595
163,1,0.1292,1.9565,12.84,689
164,1,0.3485,1.3387,14.92,617
165,1,0.0153,1.2071,9.68,652
166,1,0.3254,1.8750,12.92,504
167,1,0.1181,1.9316,12.50,906
168,1,0.2648,1.4041,16.12,1163
169,1,0.0566,1.6283,14.56,565
170,1,0.0000,1.9656,9.32,465
171,1,0.3454,1.7939,11.28,524
172,1,0.0110,1.3496,11.96,635
173,1,0.0000,1.6611,9.24,475
174,1,0.0000,1.3193,7.38,523
175,1,0.0982,1.8069,17.10,896
176,1,0.0046,1.9838,6.20,432
177,1,0.2981,1.4307,17.40,1003
178,1,0.2846,1.6954,11.02,499
179,1,0.2292,1.5846,10.44,768
180,1,0.1718,1.9806,8.04,617
181,1,0.4158,1.7563,14.32,837
182,1,0.3211,1.3534,16.06,1115
183,1,0.1640,1.9483,9.18,561
184,1,0.2240,1.5483,7.08,549
185,1,0.0358,0.9145,7.62,503
186,1,0.4545,1.4753,12.68,627
187,1,0.1680,1.5143,11.52,488
188,1,0.1018,1.5943,13.14,668
189,1,0.0000,1.9740,7.16,462
190,1,0.0000,1.9786,11.22,468
191,1,0.1113,1.9275,7.90,593
192,1,0.1291,1.7018,10.36,550
193,1,0.2633,1.3657,12.18,752
194,1,0.4326,1.4201,13.58,638
195,1,0.0000,1.7556,11.48,487
196,1,0.1645,1.1919,10.92,620
197,1,0.2745,1.4615,13.88,754
198,1,0.2056,1.6330,13.44,1041
199,1,0.0000,1.7346,6.82,486
200,1,0.0216,1.9119,15.12,647
201,1,0.3702,1.7726,11.50,497
202,1,0.2794,1.6363,15.66,877
203,1,0.1520,1.4716,13.80,967
204,1,0.0000,1.5892,13.50,538
205,1,0.1582,1.3996,7.32,493
206,1,0.1405,1.9667,10.96,541
207,1,0.1481,1.6818,15.38,594
208,1,0.1646,1.6738,15.34,656
209,1,0.0000,1.3880,14.80,719
210,1,0.0000,1.9717,7.52,530
211,1,0.1496,1.3939,13.14,655
212,1,0.1851,0.4773,15.96,1232
213,1,0.0973,1.9410,15.28,627
214,1,0.0802,1.6494,12.74,636
215,1,0.1599,1.7565,14.34,538
216,1,0.3588,1.5539,14.58,733
217,1,0.0447,1.3470,10.68,559
218,1,0.2746,1.6741,9.20,448
219,1,0.0366,1.8099,12.90,547
220,1,0.0000,1.6225,11.12,543
221,1,0.3383,1.6604,12.98,745
222,1,0.0000,1.4079,6.76,483
223,1,0.0802,1.7575,13.20,536
224,1,0.3510,1.8562,9.66,473
225,1,0.0000,1.8402,11.32,482
226,1,0.0000,1.5955,13.98,534
227,1,0.8557,0.9865,23.50,1261
228,1,0.0854,1.5967,16.80,1101
229,1,0.1750,1.5283,10.62,600
230,1,0.0905,1.3301,10.64,818
231,1,0.1753,1.9109,8.88,696
232,1,0.3049,1.8096,14.84,856
233,1,0.0232,1.3482,13.38,560
234,1,0.1000,1.9588,6.66,510
235,1,0.0000,1.8231,10.22,441
236,1,0.0000,1.4774,10.70,685
237,1,0.0495,1.8816,8.10,566
238,1,0.0162,1.7491,13.26,554
239,1,0.0056,1.7834,11.68,531
240,1,0.6407,0.8039,12.92,1066
241,1,0.1752,1.5231,56.30,2529
242,1,0.0000,1.9011,12.02,536
243,1,0.1551,1.9183,9.50,722
244,1,0.0000,1.6622,12.04,527
245,1,0.0761,1.1488,8.72,578
246,1,0.1764,1.9437,10.26,533
247,1,0.4362,1.0201,16.56,1394
248,1,0.1373,1.3258,11.54,663
249,1,0.5203,1.0629,14.66,763
250,1,0.0000,1.7551,10.96,437
251,1,0.1091,1.5909,14.68,550
252,1,0.0128,1.6868,11.06,546
253,1,0.0000,1.7329,10.86,483
254,1,0.0000,1.9496,11.22,476
255,1,0.0947,1.8877,15.38,739
256,1,0.0000,1.7802,12.60,505
257,1,0.1138,1.6718,12.10,457
258,1,0.0634,1.6381,9.16,536
259,1,0.0000,1.7054,15.14,672
260,1,0.0185,1.5200,16.54,650
261,1,0.0093,1.2820,8.94,539
262,1,0.1198,1.7431,12.42,576
263,1,0.2143,1.1874,24.26,1078
264,1,0.0931,0.9483,6.04,677
265,1,0.5802,1.3598,12.96,717
266,1,0.0000,0.8183,13.10,567
267,1,0.0000,1.8869,13.78,734
268,1,0.0851,1.3951,6.92,529
269,1,0.0000,1.8388,5.78,459
270,1,0.2028,1.7044,12.10,636
271,1,0.1833,1.9004,13.30,813
272,1,0.1187,1.8149,8.78,497
273,1,0.2851,1.8612,13.14,670
274,1,0.0000,1.7189,13.40,644
275,1,0.0915,1.5973,9.32,601
276,1,0.2000,1.4486,12.54,905
277,1,0.0665,1.4521,9.22,511
278,1,0.0709,1.9851,10.66,536
279,1,0.0000,0.8213,13.06,705
280,1,0.1073,1.4309,14.52,550
281,1,0.1733,1.3556,13.60,675
282,1,0.0000,1.6575,10.84,914
283,1,0.0000,1.9834,11.92,481
284,1,0.2957,1.4279,15.66,832
285,1,0.0000,1.8504,13.78,568
286,1,0.2509,1.8857,10.88,586
287,1,0.3709,1.6006,10.02,701
288,1,0.0597,1.7994,11.58,703
289,1,0.3766,1.5366,13.88,725
290,1,0.3198,1.8728,24.64,2248
291,1,0.4203,1.1953,14.16,1116
292,1,0.0000,1.8732,9.00,694
293,1,0.0000,1.7680,11.04,513
294,1,0.0789,1.2611,11.18,494
295,1,0.2161,1.9160,9.48,583
296,1,0.1466,1.0301,17.82,1098
297,1,0.0000,1.5353,11.20,467
298,1,0.1384,1.8478,13.76,867
299,1,0.0131,1.4833,9.16,838
300,1,0.0000,1.3646,9.52,554
301,1,0.0000,1.7298,11.54,459
302,1,0.3201,1.9693,9.24,553
303,1,0.0000,1.5689,13.10,508
304,1,0.4740,1.3952,11.00,749
305,1,0.1033,1.3017,6.58,484
306,1,0.0000,1.7969,8.90,512
307,1,0.0758,0.8574,12.02,673
308,1,0.1526,1.3005,8.78,629
309,1,0.3263,0.9141,10.50,524
310,1,0.0935,1.9239,8.64,631
311,1,0.0019,1.3989,10.04,539
312,1,0.6449,1.6176,16.96,842
313,1,0.2686,1.4035,13.48,860
314,1,0.0940,1.5089,12.50,564
315,1,0.0654,1.8262,15.32,627
316,1,0.2023,1.9175,15.10,1478
317,1,0.2872,1.9409,9.82,491
318,1,0.2866,1.4924,13.96,792
319,1,0.0591,1.6438,11.16,744
320,1,0.4571,1.7236,20.24,1013
321,1,0.2059,1.9750,10.18,680
322,1,0.0000,1.4772,9.74,593
323,1,0.1891,1.7606,8.28,497
324,1,0.0000,1.3309,11.08,541
325,1,0.0514,1.8112,8.54,662
326,1,0.2686,1.6114,12.60,525
