Episode,TotalGlobalSteps,MeanActionJitter,MeanMechJitter
217,0,0.5800396,5.757865
218,0,0.6133952,6.143548
219,0,0.5397871,5.39426
220,0,0,17.84103
221,0,0.5409191,5.32453
222,0,0.5461072,5.273151
223,0,0.5573127,5.401193
224,0,0.5751161,6.07127
225,0,0,23.39524
226,0,0.5832618,6.401225
227,0,0.4997108,5.768823
228,0,0.5276339,5.108692
229,0,0.4888759,4.819967
230,0,0.5348528,5.263083
231,0,0.5108275,4.792633
232,0,0.5680475,5.708403
233,0,0.5435745,5.72291
234,0,0.5368112,5.503103
235,0,0.4790161,4.827672
236,0,0.4912877,5.605186
237,0,0.5436323,5.53372
238,0,0.5121856,5.304565
239,0,0.4875455,4.973095
240,0,0.5195996,5.379263
241,0,0.6489494,5.357704
242,0,0.5542253,5.694567
243,0,0.55795,5.559618
244,0,0.4983042,4.925656
245,0,0,9.462953
246,0,0.5174732,4.913658
247,0,0.4675746,4.859785
248,0,0.5366411,5.53863
249,0,0.5382734,5.221137
250,0,0.5394632,5.272491
251,0,0.5375266,5.490118
252,0,0.5226272,5.021087
253,0,0.5372422,5.477004
254,0,0.5177617,5.204521
255,0,0.5369064,5.179549
256,0,0.5859179,5.693651
257,0,0,5.151801
258,0,0.5294152,5.446052
259,0,0.5481336,5.454485
260,0,0.5334002,5.744049
261,0,0.6187677,5.950659
262,0,0.5078409,5.190084
263,0,0.5157149,5.376143
264,0,0.5598189,5.725956
265,0,0.5351745,5.45101
266,0,0.5102531,4.981256
267,0,0.5682678,4.466129
268,0,0.533735,5.321106
269,0,0.5256212,5.548956
270,0,0.5440792,5.419617
271,0,0.5920075,6.019044
272,0,0.5443013,5.347108
273,0,0.5082359,5.19064
274,0,0.4793471,5.097821
275,0,0.5529816,5.471626
276,0,0.5400015,4.816087
277,0,0.5430499,5.76876
278,0,0.5345536,5.133503
279,0,0.5410994,5.278028
280,0,0.5227857,5.293489
281,0,0.5551503,5.721634
282,0,0.5364031,5.368297
283,0,0.5499285,5.706254
284,0,0.5220256,5.00256
285,0,0.5118166,4.918162
286,0,0.5948957,5.918015
287,0,0.5085952,5.20116
288,0,0.5876672,5.833291
289,0,0.5124322,5.387344
290,0,0.5492775,5.025451
291,0,0,12.29929
292,0,0.5477932,5.20591
293,0,0.514181,5.139325
294,0,0.4541929,4.452243
295,0,0.6017762,5.997793
296,0,0.5686246,5.748672
297,0,0,15.43838
298,0,0.5676599,6.075955
299,0,0.5072905,4.690482
300,0,0.5266612,5.400847
301,0,0.5090284,5.056252
302,0,0.4857447,4.642492
303,0,0.5046104,5.158331
304,0,0.4285769,4.497135
305,0,0.5393429,5.578093
306,0,0.5485744,5.736146
