0,0,0,0,0,0,0,0,0,0,0,0,0
0,5483,7211,8164,6534,3123,889,387,318,285,309,661,0
0,4104,4314,0,2537,5443,3930,2763,2495,2232,2106,1271,0
0,7936,3291,3037,2663,4149,3657,4029,4974,5503,5317,1202,0
0,11646,0,0,1863,4965,4469,4919,4399,3318,7783,1572,0
0,11647,9473,11592,6742,8239,4524,2714,443,0,5619,2843,0
0,8196,5331,0,5816,8282,5964,2683,0,0,5874,3022,0
0,5748,8217,4912,4687,1601,2580,7140,3327,1307,7519,2538,0
0,4986,7057,0,0,0,0,3239,2869,4617,8646,2241,0
0,3608,9114,952,297,0,17698,4069,0,2690,8397,1916,0
0,7026,7970,7999,5258,1601,0,7565,4544,8279,9513,3644,0
0,14346,4367,2380,5601,11975,16655,14788,8497,5618,7946,8049,0
0,0,0,0,0,0,0,0,0,0,0,0,0
