Wall time,Step,Value
1775048148.2068954,10000,-4.800992488861084
1775048234.0863113,20000,-2.666785478591919
1775048327.9603665,30000,12.75732421875
1775048423.8501115,40000,13.653318405151367
1775048519.645816,50000,15.388559341430664
1775048617.0721614,60000,14.492189407348633
1775048712.1762037,70000,14.460569381713867
1775048808.0209656,80000,15.450478553771973
1775048905.7349908,90000,14.672478675842285
1775049002.7375698,100000,15.724296569824219
1775049103.9098144,110000,15.895235061645508
1775049204.6059346,120000,16.778839111328125
1775049308.0255044,130000,15.93708324432373
1775049407.761695,140000,16.20008659362793
1775049507.401782,150000,16.08504295349121
1775049608.8896413,160000,16.24707794189453
1775049709.1258335,170000,15.579157829284668
1775049812.5264766,180000,16.074871063232422
1775049914.7861753,190000,16.57097816467285
1775050013.58508,200000,16.205381393432617
1775050110.224096,210000,16.366199493408203
1775050207.816358,220000,16.109546661376953
1775050305.5553684,230000,16.51209259033203
1775050403.6569662,240000,16.83891487121582
1775050501.3307889,250000,16.554885864257812
1775050599.1032274,260000,17.05668830871582
1775050697.9626288,270000,16.28728485107422
1775050795.109406,280000,16.604286193847656
1775050894.1008136,290000,16.462013244628906
1775050992.175609,300000,16.413314819335938
1775051091.2716806,310000,17.108768463134766
1775051190.383083,320000,16.51877212524414
1775051290.805166,330000,16.51006507873535
1775051393.7626443,340000,16.597248077392578
1775051497.513473,350000,16.477535247802734
1775051601.070466,360000,16.136234283447266
1775051704.4918883,370000,16.882801055908203
1775051820.1928918,380000,16.1937198638916
1775051945.1424954,390000,17.012435913085938
1775052066.7536294,400000,16.44276237487793
1775052193.5836127,410000,16.312862396240234
1775052318.4429557,420000,16.872814178466797
1775052443.0660684,430000,15.78929328918457
1775052568.30948,440000,16.290910720825195
1775052693.026034,450000,16.793853759765625
1775052820.509238,460000,16.920747756958008
1775052946.9546552,470000,16.318347930908203
1775053069.7460437,480000,16.88359832763672
1775053194.5879085,490000,16.978456497192383
1775053300.5568886,500000,16.54079818725586
1775053408.2178397,510000,16.879240036010742
1775053514.9463146,520000,16.507640838623047
1775053620.6238253,530000,16.58152961730957
1775053722.1018367,540000,16.661083221435547
1775053824.5085413,550000,16.84929656982422
1775053937.0879295,560000,16.916133880615234
1775054042.7608054,570000,16.88129234313965
1775054149.4730139,580000,16.450252532958984
1775054256.2974768,590000,16.500965118408203
1775054359.4557347,600000,17.275184631347656
