Episode,Captures,EscortRate,RoleDiversityRate,AvgCarrierSurvivalTime,EpisodeLength
158,1,0.3304,1.3116,9.92,905
159,1,0.0534,1.5594,9.30,581
160,1,0.0772,1.0080,11.86,622
161,1,0.7084,1.6453,19.20,967
162,1,0.8465,0.9682,13.08,723
163,1,0.3971,1.5117,19.56,899
164,1,0.0956,1.8452,11.96,659
165,1,0.0000,1.5871,6.10,603
166,1,0.3550,1.2456,12.08,676
167,1,0.0859,1.4869,12.42,955
168,1,0.0601,1.4391,10.82,649
169,1,0.0401,1.1939,18.86,748
170,1,0.7085,1.4386,17.42,741
171,1,0.2280,1.0969,11.76,1022
172,1,0.4652,1.4631,14.00,976
173,1,0.4690,1.1281,8.34,968
174,1,0.1104,0.9936,12.38,625
175,1,0.0601,0.9003,8.18,682
176,1,0.2888,1.3314,5.92,516
177,1,0.1356,1.5261,13.48,671
178,1,0.5159,1.1465,12.44,628
179,1,0.2341,1.4487,16.90,1072
180,1,0.2216,1.2462,10.38,528
181,1,0.3551,1.3093,16.02,721
182,1,0.0000,1.6774,13.56,561
183,1,0.0370,1.7608,14.16,648
184,1,0.1501,1.5291,12.72,773
185,1,0.1195,1.3118,13.94,728
186,1,0.3871,1.1846,13.86,948
187,1,0.0078,1.3649,13.82,644
188,1,0.0551,1.3489,8.44,599
189,1,0.0900,0.9586,13.58,700
190,1,0.0000,1.6679,16.94,837
191,1,0.3438,1.7257,13.36,762
192,1,0.0769,1.1800,8.72,650
193,1,0.0025,1.7768,13.68,811
194,1,0.0582,1.3476,12.86,653
195,1,0.3662,1.2097,10.56,639
196,1,0.0149,1.4597,15.86,942
197,1,0.2981,1.8926,12.96,540
198,1,0.0668,1.7222,17.98,853
199,1,0.1864,1.2237,8.52,617
200,1,0.0204,1.1426,10.84,589
201,1,0.0000,1.5988,10.58,653
202,1,0.0000,1.6186,11.78,679
203,1,0.3064,1.3374,15.80,904
204,1,0.1723,1.4791,12.36,766
205,1,0.6939,0.8356,20.14,1235
206,1,0.5464,1.0626,24.22,1486
207,1,0.1709,0.9413,10.66,749
208,1,0.0440,1.5090,15.66,613
209,1,0.0000,1.7630,12.12,637
210,1,0.1459,1.4979,7.66,699
211,1,0.2003,1.1447,11.50,629
212,1,0.4867,1.6679,20.54,828
213,1,0.2749,1.6932,12.68,753
214,1,0.3618,1.5022,18.68,912
215,1,0.4358,1.2556,21.08,982
216,1,0.3644,1.6030,15.50,675
217,1,0.2252,1.2409,8.66,635
218,1,0.0841,1.7150,8.18,642
219,1,0.5512,1.1759,20.10,762
220,1,0.1712,1.6481,15.38,736
221,1,0.0999,1.3249,9.18,671
222,1,0.1472,1.6777,15.90,788
223,1,0.1016,1.0159,12.96,630
224,1,0.0616,1.6110,6.12,617
225,1,0.5961,1.6018,12.98,879
226,1,0.3289,1.0610,19.24,754
227,1,0.4778,1.0168,14.10,835
228,1,0.6563,1.3449,13.02,838
229,1,0.1131,1.7883,10.06,548
230,1,0.3080,0.9911,14.42,672
231,1,0.1020,1.5980,5.34,490
232,1,0.6908,1.2752,18.72,941
233,1,0.6537,1.2846,16.22,745
234,1,0.2523,1.9528,12.60,551
235,1,0.2262,1.7348,19.44,871
236,1,0.2770,1.6549,14.98,823
237,1,0.4737,1.2261,19.30,836
238,1,0.5482,1.4179,16.22,737
239,1,0.1033,1.2750,15.24,600
240,1,0.1328,1.7903,15.44,806
241,1,0.3684,1.6380,18.90,1083
242,1,0.3751,0.9968,19.22,933
243,1,0.7000,1.9159,14.10,630
244,1,0.1299,1.7781,14.78,739
245,1,0.3956,1.5057,22.48,1054
246,1,0.0679,1.4077,11.74,677
247,1,0.1403,1.5204,14.04,663
248,1,0.1617,1.7315,14.52,674
249,1,0.1643,1.5571,12.86,639
250,1,0.0777,1.1240,12.42,734
251,1,0.2249,1.2492,11.94,618
252,1,0.1472,1.4910,18.56,829
253,1,0.3271,1.3310,12.70,1012
254,1,0.2490,1.4674,10.76,783
255,1,0.3781,1.1558,15.16,841
256,1,0.3593,1.3807,11.92,654
257,1,0.0981,1.3564,10.48,724
258,1,0.5964,1.4272,14.72,721
259,1,0.1659,1.8223,11.68,681
260,1,1.2684,0.9355,22.06,868
261,1,0.2299,1.5477,10.94,535
262,1,0.3564,1.8056,16.28,679
263,1,0.1903,1.1568,15.68,657
