0,0,0,0,0,0,0,0,0,0,0,0,0
0,1278,6757,25979,22005,5998,4554,6636,7788,8424,3935,3080,0
0,3351,8286,0,16370,12781,13551,12834,11686,12091,9446,6101,0
0,8742,5405,17035,15606,12593,4938,4595,11362,43523,34746,9213,0
0,6229,0,0,8762,13021,3668,9311,20538,16742,39484,8695,0
0,8554,20877,6939,16302,25601,9233,21674,2970,0,13635,6075,0
0,10979,17134,0,8211,22108,17842,20125,0,0,14169,9055,0
0,7368,13440,3090,4935,6491,9216,32818,16506,12747,59108,12223,0
0,5034,9767,0,0,0,0,14443,12126,20885,33902,6682,0
0,5278,17714,9448,4823,0,60017,18446,0,21017,20967,3500,0
0,8566,15766,15310,10852,4738,0,30075,28003,31404,13079,2022,0
0,20785,14194,10228,10264,13385,16808,26804,23382,13049,4956,1081,0
0,0,0,0,0,0,0,0,0,0,0,0,0
