Step,Action0_deg,Action1_deg,Action2_deg,Action3_deg,Action4_deg,Action5_deg
90,-35.2296,-6.0029,39.0193,35.2187,7.5235,59.6761
91,-52.7359,58.7449,54.2026,30.7460,20.6316,-36.5943
92,-52.7359,58.7449,54.2026,30.7460,20.6316,-36.5943
93,-52.7359,58.7449,54.2026,30.7460,20.6316,-36.5943
94,-52.7359,58.7449,54.2026,30.7460,20.6316,-36.5943
95,-52.7359,58.7449,54.2026,30.7460,20.6316,-36.5943
96,-59.2026,-57.4613,-35.1617,7.1402,41.6150,-31.8171
97,-59.2026,-57.4613,-35.1617,7.1402,41.6150,-31.8171
98,-59.2026,-57.4613,-35.1617,7.1402,41.6150,-31.8171
99,-59.2026,-57.4613,-35.1617,7.1402,41.6150,-31.8171
100,-59.2026,-57.4613,-35.1617,7.1402,41.6150,-31.8171
101,-52.8631,46.4117,18.5147,30.9338,46.9686,-56.1966
102,-52.8631,46.4117,18.5147,30.9338,46.9686,-56.1966
103,-52.8631,46.4117,18.5147,30.9338,46.9686,-56.1966
104,-52.8631,46.4117,18.5147,30.9338,46.9686,-56.1966
105,-52.8631,46.4117,18.5147,30.9338,46.9686,-56.1966
106,-19.4365,-12.1836,44.0309,-34.0881,48.8011,-58.1555
107,-19.4365,-12.1836,44.0309,-34.0881,48.8011,-58.1555
108,-19.4365,-12.1836,44.0309,-34.0881,48.8011,-58.1555
109,-19.4365,-12.1836,44.0309,-34.0881,48.8011,-58.1555
110,-19.4365,-12.1836,44.0309,-34.0881,48.8011,-58.1555
111,4.8559,35.2105,56.6549,-59.8778,36.0539,-56.4061
112,4.8559,35.2105,56.6549,-59.8778,36.0539,-56.4061
113,4.8559,35.2105,56.6549,-59.8778,36.0539,-56.4061
114,4.8559,35.2105,56.6549,-59.8778,36.0539,-56.4061
115,4.8559,35.2105,56.6549,-59.8778,36.0539,-56.4061
116,-51.6337,-59.4470,48.2391,-57.0817,55.9961,55.7342
117,-51.6337,-59.4470,48.2391,-57.0817,55.9961,55.7342
118,-51.6337,-59.4470,48.2391,-57.0817,55.9961,55.7342
119,-51.6337,-59.4470,48.2391,-57.0817,55.9961,55.7342
120,-51.6337,-59.4470,48.2391,-57.0817,55.9961,55.7342
121,-37.4743,57.3021,59.2936,6.0988,51.7991,21.4117
122,-37.4743,57.3021,59.2936,6.0988,51.7991,21.4117
123,-37.4743,57.3021,59.2936,6.0988,51.7991,21.4117
124,-37.4743,57.3021,59.2936,6.0988,51.7991,21.4117
125,-37.4743,57.3021,59.2936,6.0988,51.7991,21.4117
126,-50.3788,-35.5855,59.4830,1.0548,10.3405,14.0247
127,-50.3788,-35.5855,59.4830,1.0548,10.3405,14.0247
128,-50.3788,-35.5855,59.4830,1.0548,10.3405,14.0247
129,-50.3788,-35.5855,59.4830,1.0548,10.3405,14.0247
130,-50.3788,-35.5855,59.4830,1.0548,10.3405,14.0247
131,-59.2388,22.4790,22.8785,-46.0373,40.7744,19.5710
132,-59.2388,22.4790,22.8785,-46.0373,40.7744,19.5710
133,-59.2388,22.4790,22.8785,-46.0373,40.7744,19.5710
134,-59.2388,22.4790,22.8785,-46.0373,40.7744,19.5710
135,-59.2388,22.4790,22.8785,-46.0373,40.7744,19.5710
136,-52.3744,-57.5755,58.9829,-53.7252,33.1340,28.2751
137,-52.3744,-57.5755,58.9829,-53.7252,33.1340,28.2751
138,-52.3744,-57.5755,58.9829,-53.7252,33.1340,28.2751
139,-52.3744,-57.5755,58.9829,-53.7252,33.1340,28.2751
140,-52.3744,-57.5755,58.9829,-53.7252,33.1340,28.2751
141,-51.1578,55.2509,59.5459,-58.5407,58.5333,-33.7878
142,-51.1578,55.2509,59.5459,-58.5407,58.5333,-33.7878
143,-51.1578,55.2509,59.5459,-58.5407,58.5333,-33.7878
144,-51.1578,55.2509,59.5459,-58.5407,58.5333,-33.7878
145,-51.1578,55.2509,59.5459,-58.5407,58.5333,-33.7878
146,-57.8456,-56.6545,51.7698,-58.4607,57.4556,59.5935
147,-57.8456,-56.6545,51.7698,-58.4607,57.4556,59.5935
148,-57.8456,-56.6545,51.7698,-58.4607,57.4556,59.5935
149,-57.8456,-56.6545,51.7698,-58.4607,57.4556,59.5935
150,-57.8456,-56.6545,51.7698,-58.4607,57.4556,59.5935
151,-56.6604,57.7743,55.3968,-55.3175,57.5164,21.4478
152,-56.6604,57.7743,55.3968,-55.3175,57.5164,21.4478
153,-56.6604,57.7743,55.3968,-55.3175,57.5164,21.4478
154,-56.6604,57.7743,55.3968,-55.3175,57.5164,21.4478
155,-56.6604,57.7743,55.3968,-55.3175,57.5164,21.4478
156,-59.6598,-56.5176,56.2763,-31.4602,49.6459,23.5877
157,-59.6598,-56.5176,56.2763,-31.4602,49.6459,23.5877
158,-59.6598,-56.5176,56.2763,-31.4602,49.6459,23.5877
159,-59.6598,-56.5176,56.2763,-31.4602,49.6459,23.5877
160,-59.6598,-56.5176,56.2763,-31.4602,49.6459,23.5877
161,-58.5171,33.8725,59.7982,-57.0078,59.3364,-58.1840
162,-58.5171,33.8725,59.7982,-57.0078,59.3364,-58.1840
163,-58.5171,33.8725,59.7982,-57.0078,59.3364,-58.1840
164,-58.5171,33.8725,59.7982,-57.0078,59.3364,-58.1840
165,-58.5171,33.8725,59.7982,-57.0078,59.3364,-58.1840
166,-58.9201,-57.1216,36.2745,-59.6173,58.6984,58.3961
167,-58.9201,-57.1216,36.2745,-59.6173,58.6984,58.3961
168,-58.9201,-57.1216,36.2745,-59.6173,58.6984,58.3961
169,-58.9201,-57.1216,36.2745,-59.6173,58.6984,58.3961
170,-58.9201,-57.1216,36.2745,-59.6173,58.6984,58.3961
171,-10.3637,59.1665,15.0013,-50.9442,59.6706,16.3182
172,-10.3637,59.1665,15.0013,-50.9442,59.6706,16.3182
173,-10.3637,59.1665,15.0013,-50.9442,59.6706,16.3182
174,-10.3637,59.1665,15.0013,-50.9442,59.6706,16.3182
175,-10.3637,59.1665,15.0013,-50.9442,59.6706,16.3182
176,-57.6653,-56.5259,6.3887,-1.0610,39.3076,32.7974
177,-57.6653,-56.5259,6.3887,-1.0610,39.3076,32.7974
178,-57.6653,-56.5259,6.3887,-1.0610,39.3076,32.7974
179,-57.6653,-56.5259,6.3887,-1.0610,39.3076,32.7974
180,-57.6653,-56.5259,6.3887,-1.0610,39.3076,32.7974
181,-52.5022,53.0078,59.0394,-24.9729,51.3086,-0.6339
182,-52.5022,53.0078,59.0394,-24.9729,51.3086,-0.6339
183,-52.5022,53.0078,59.0394,-24.9729,51.3086,-0.6339
184,-52.5022,53.0078,59.0394,-24.9729,51.3086,-0.6339
185,-52.5022,53.0078,59.0394,-24.9729,51.3086,-0.6339
186,-21.9754,-53.1503,-26.3444,-57.5465,57.6460,-2.3269
187,-21.9754,-53.1503,-26.3444,-57.5465,57.6460,-2.3269
188,-21.9754,-53.1503,-26.3444,-57.5465,57.6460,-2.3269
189,-21.9754,-53.1503,-26.3444,-57.5465,57.6460,-2.3269
190,-21.9754,-53.1503,-26.3444,-57.5465,57.6460,-2.3269
191,-59.8500,53.1919,48.3265,-27.2539,48.0889,-8.8955
192,-59.8500,53.1919,48.3265,-27.2539,48.0889,-8.8955
193,-59.8500,53.1919,48.3265,-27.2539,48.0889,-8.8955
194,-59.8500,53.1919,48.3265,-27.2539,48.0889,-8.8955
195,-59.8500,53.1919,48.3265,-27.2539,48.0889,-8.8955
196,-44.8278,-18.4682,-27.1857,-54.6278,56.7878,58.0378
197,-44.8278,-18.4682,-27.1857,-54.6278,56.7878,58.0378
198,-44.8278,-18.4682,-27.1857,-54.6278,56.7878,58.0378
199,-44.8278,-18.4682,-27.1857,-54.6278,56.7878,58.0378
200,-44.8278,-18.4682,-27.1857,-54.6278,56.7878,58.0378
201,-54.3643,55.0585,-12.5085,-57.0147,3.2155,44.5428
