Wall time,Step,Value
1775054656.2954867,10000,-13.923919677734375
1775054669.47628,20000,-12.671103477478027
1775054682.834433,30000,-13.12489128112793
1775054695.7427669,40000,-11.181206703186035
1775054707.7167764,50000,-12.093958854675293
1775054720.6000051,60000,-13.583765029907227
1775054732.370403,70000,-11.128556251525879
1775054745.0717766,80000,-12.46662425994873
1775054756.855229,90000,-12.950669288635254
1775054769.2770364,100000,-14.851446151733398
1775054790.2500124,110000,-11.239005088806152
1775054802.1022959,120000,-12.36064624786377
1775054814.470912,130000,-10.578520774841309
1775054826.4157565,140000,-12.29813003540039
1775054838.8913047,150000,-14.113243103027344
1775054851.190707,160000,-11.117335319519043
1775054863.44799,170000,-11.378622055053711
1775054875.375575,180000,-10.48144817352295
1775054888.0552332,190000,-14.099527359008789
1775054899.824415,200000,-9.659096717834473
1775054921.173448,210000,-10.96103286743164
1775054933.3191242,220000,-9.033769607543945
1775054946.3521912,230000,-8.126104354858398
1775054958.2257931,240000,-12.686552047729492
1775054970.1531086,250000,-9.755049705505371
1775054981.7351155,260000,-8.719670295715332
1775054994.2040253,270000,-10.409165382385254
1775055006.0372987,280000,-9.929506301879883
1775055018.5479827,290000,-11.279118537902832
1775055030.8252654,300000,-9.431781768798828
1775055051.4193797,310000,-8.993091583251953
1775055063.7984102,320000,-8.130972862243652
1775055075.8935237,330000,-7.147932052612305
1775055087.8282259,340000,-8.850964546203613
1775055100.5298073,350000,-6.996222972869873
1775055112.3138132,360000,-10.243059158325195
1775055124.613383,370000,-8.366899490356445
1775055136.7370765,380000,-9.291866302490234
1775055148.7451172,390000,-7.596161365509033
1775055161.348171,400000,-9.894723892211914
1775055182.0226898,410000,-7.786311149597168
1775055194.4525409,420000,-7.119684219360352
1775055206.1648018,430000,-6.043524265289307
1775055218.4076526,440000,-7.994022369384766
1775055230.9370654,450000,-8.094804763793945
1775055243.1608334,460000,-6.760008335113525
1775055255.1118944,470000,-6.809729099273682
1775055267.543527,480000,-6.1994218826293945
1775055279.8705094,490000,-7.03533935546875
1775055292.2831018,500000,-7.307858467102051
1775055304.260639,510000,-7.996830463409424
1775055325.0097463,520000,-5.655405521392822
1775055336.8781545,530000,-6.611062049865723
1775055349.309495,540000,-6.547316551208496
1775055361.3408008,550000,-5.663537502288818
1775055374.5659785,560000,-6.422800540924072
1775055385.7944274,570000,-4.632835865020752
1775055398.1288035,580000,-6.66788387298584
1775055410.5541418,590000,-5.925347328186035
1775055422.487919,600000,-5.217707633972168
1775055435.2631624,610000,-5.906737327575684
1775055455.2047563,620000,-6.01821756362915
1775055467.6131325,630000,-3.834181308746338
1775055479.7557883,640000,-4.100855350494385
1775055492.194855,650000,-4.244526386260986
1775055504.1260717,660000,-5.444065093994141
1775055516.1390812,670000,-4.111563205718994
1775055528.4236498,680000,-4.78251314163208
1775055540.6646159,690000,-4.760239601135254
1775055553.0496233,700000,-5.0482707023620605
1775055565.4519851,710000,-4.354257106781006
1775055586.2384732,720000,-4.5110039710998535
1775055598.2391334,730000,-4.224947929382324
1775055610.651488,740000,-4.445589542388916
1775055622.2205026,750000,-3.6712405681610107
1775055634.7665799,760000,-3.0233912467956543
1775055647.0931988,770000,-3.1532063484191895
1775055659.6578078,780000,-3.6373956203460693
1775055671.6997714,790000,-3.4243383407592773
1775055683.6768708,800000,-2.7378182411193848
1775055696.140003,810000,-3.9626729488372803
1775055708.344755,820000,-3.490694761276245
1775055729.2821078,830000,-2.4720239639282227
1775055741.337554,840000,-1.9499906301498413
1775055753.5393925,850000,-1.6369248628616333
1775055765.6007087,860000,-2.2107198238372803
1775055778.248325,870000,-1.7316642999649048
1775055790.1792622,880000,-1.9105408191680908
1775055802.8924983,890000,-1.8745976686477661
