Step,Action0_deg,Action1_deg,Action2_deg,Action3_deg,Action4_deg,Action5_deg
91,3.9551,-44.2523,36.5612,-7.6718,-23.4907,46.5858
92,3.9551,-44.2523,36.5612,-7.6718,-23.4907,46.5858
93,3.9551,-44.2523,36.5612,-7.6718,-23.4907,46.5858
94,3.9551,-44.2523,36.5612,-7.6718,-23.4907,46.5858
95,3.9551,-44.2523,36.5612,-7.6718,-23.4907,46.5858
96,11.2686,-29.4977,21.5988,-14.1707,-2.8064,0.8360
97,11.2686,-29.4977,21.5988,-14.1707,-2.8064,0.8360
98,11.2686,-29.4977,21.5988,-14.1707,-2.8064,0.8360
99,11.2686,-29.4977,21.5988,-14.1707,-2.8064,0.8360
100,11.2686,-29.4977,21.5988,-14.1707,-2.8064,0.8360
101,12.7360,-43.6089,25.0993,-6.5265,-53.5152,14.7998
102,12.7360,-43.6089,25.0993,-6.5265,-53.5152,14.7998
103,12.7360,-43.6089,25.0993,-6.5265,-53.5152,14.7998
104,12.7360,-43.6089,25.0993,-6.5265,-53.5152,14.7998
105,12.7360,-43.6089,25.0993,-6.5265,-53.5152,14.7998
106,28.2255,-45.0292,28.1163,7.8204,-22.6302,26.3371
107,28.2255,-45.0292,28.1163,7.8204,-22.6302,26.3371
108,28.2255,-45.0292,28.1163,7.8204,-22.6302,26.3371
109,28.2255,-45.0292,28.1163,7.8204,-22.6302,26.3371
110,28.2255,-45.0292,28.1163,7.8204,-22.6302,26.3371
111,-1.3055,-7.5075,20.7436,13.5411,18.1413,39.4104
112,-1.3055,-7.5075,20.7436,13.5411,18.1413,39.4104
113,-1.3055,-7.5075,20.7436,13.5411,18.1413,39.4104
114,-1.3055,-7.5075,20.7436,13.5411,18.1413,39.4104
115,-1.3055,-7.5075,20.7436,13.5411,18.1413,39.4104
116,-2.3359,-42.7750,16.4478,12.5775,-35.5035,0.6165
117,-2.3359,-42.7750,16.4478,12.5775,-35.5035,0.6165
118,-2.3359,-42.7750,16.4478,12.5775,-35.5035,0.6165
119,-2.3359,-42.7750,16.4478,12.5775,-35.5035,0.6165
120,-2.3359,-42.7750,16.4478,12.5775,-35.5035,0.6165
121,-6.2492,-60.0000,43.8103,-11.6756,-11.2407,-58.1955
122,-6.2492,-60.0000,43.8103,-11.6756,-11.2407,-58.1955
123,-6.2492,-60.0000,43.8103,-11.6756,-11.2407,-58.1955
124,-6.2492,-60.0000,43.8103,-11.6756,-11.2407,-58.1955
125,-6.2492,-60.0000,43.8103,-11.6756,-11.2407,-58.1955
126,10.2937,-56.3688,-4.9228,-50.0491,-38.3889,16.2890
127,10.2937,-56.3688,-4.9228,-50.0491,-38.3889,16.2890
128,10.2937,-56.3688,-4.9228,-50.0491,-38.3889,16.2890
129,10.2937,-56.3688,-4.9228,-50.0491,-38.3889,16.2890
130,10.2937,-56.3688,-4.9228,-50.0491,-38.3889,16.2890
131,-3.8494,-37.0288,-24.8821,-52.1686,-21.0465,60.0000
132,-3.8494,-37.0288,-24.8821,-52.1686,-21.0465,60.0000
133,-3.8494,-37.0288,-24.8821,-52.1686,-21.0465,60.0000
134,-3.8494,-37.0288,-24.8821,-52.1686,-21.0465,60.0000
135,-3.8494,-37.0288,-24.8821,-52.1686,-21.0465,60.0000
136,54.7923,23.5026,-6.2200,23.2698,-12.7174,-34.8986
137,54.7923,23.5026,-6.2200,23.2698,-12.7174,-34.8986
138,54.7923,23.5026,-6.2200,23.2698,-12.7174,-34.8986
139,54.7923,23.5026,-6.2200,23.2698,-12.7174,-34.8986
140,54.7923,23.5026,-6.2200,23.2698,-12.7174,-34.8986
141,42.9951,-38.9694,31.7283,53.5192,-1.7945,-43.9652
142,42.9951,-38.9694,31.7283,53.5192,-1.7945,-43.9652
143,42.9951,-38.9694,31.7283,53.5192,-1.7945,-43.9652
144,42.9951,-38.9694,31.7283,53.5192,-1.7945,-43.9652
145,42.9951,-38.9694,31.7283,53.5192,-1.7945,-43.9652
146,-14.3282,-32.1492,55.7646,21.3616,-44.8428,-58.9498
147,-14.3282,-32.1492,55.7646,21.3616,-44.8428,-58.9498
148,-14.3282,-32.1492,55.7646,21.3616,-44.8428,-58.9498
149,-14.3282,-32.1492,55.7646,21.3616,-44.8428,-58.9498
150,-14.3282,-32.1492,55.7646,21.3616,-44.8428,-58.9498
