Episode,Captures,EscortRate,RoleDiversityRate,AvgCarrierSurvivalTime,EpisodeLength
158,1,0.5520,1.3327,10.50,529
159,1,0.0000,1.3002,12.02,563
160,1,0.0694,1.6157,11.74,648
161,1,0.1030,1.5955,8.50,660
162,1,0.5648,1.4043,14.68,648
163,1,0.1684,1.4365,11.66,843
164,1,0.0000,1.2965,10.12,651
165,1,0.5677,1.4365,13.50,724
166,1,0.5515,1.5902,15.28,1059
167,1,0.2448,1.5429,11.28,862
168,1,0.2770,0.9403,16.18,888
169,1,0.4242,1.6238,11.66,521
170,1,0.5952,1.2210,14.54,751
171,1,0.2797,1.4732,17.30,858
172,1,0.1095,1.6557,12.70,639
173,1,0.2927,0.7098,10.02,772
174,1,0.0000,1.5667,14.80,757
175,1,0.0319,1.3558,6.78,565
176,1,0.1817,1.8321,11.08,798
177,1,0.4052,1.9052,18.84,802
178,1,0.0862,1.2334,13.34,754
179,1,0.3140,1.0864,14.22,602
180,1,0.2622,1.5285,17.02,1228
181,1,0.0663,1.6311,14.62,694
182,1,0.2467,1.4067,11.98,750
183,1,0.5428,1.3126,10.68,643
184,1,0.0000,1.7718,6.56,447
185,1,0.3741,0.8422,13.24,1096
186,1,0.3475,0.9656,13.72,872
187,1,0.3476,1.4246,16.96,961
188,1,0.2050,1.0935,8.06,556
189,1,0.4003,1.3745,16.04,777
190,1,0.6187,1.3394,11.98,716
191,1,0.1376,1.4100,7.84,683
192,1,0.1916,1.5367,10.78,762
193,1,0.2644,1.3231,11.16,749
194,1,0.0000,1.7873,15.10,616
195,1,0.0206,1.3756,6.60,631
196,1,0.2372,1.6796,13.54,721
197,1,0.2448,1.6515,13.32,723
198,1,0.0000,1.3929,7.40,733
199,1,1.1169,0.9059,23.12,1052
200,1,0.0366,1.8503,11.50,628
201,1,0.3710,1.0183,11.36,655
202,1,0.1722,1.6129,15.14,726
203,1,0.0833,1.2721,10.28,768
204,1,0.0770,1.6874,13.18,675
205,1,0.5059,0.7045,18.12,846
206,1,0.0966,1.3456,13.92,735
207,1,0.0000,1.6290,11.38,620
208,1,0.1862,1.7303,16.20,838
209,1,0.6334,1.0214,13.98,701
210,1,0.6549,1.6875,17.78,736
211,1,0.3869,0.8846,19.02,858
212,1,0.5197,1.4182,17.80,660
213,1,0.1865,1.6222,15.44,622
214,1,0.0096,1.0171,10.16,938
215,1,0.4488,1.3279,16.44,927
216,1,0.2882,1.0600,15.20,916
217,1,0.2285,1.2357,8.68,963
218,1,1.1614,1.5836,22.74,1047
219,1,0.4900,1.4230,17.62,851
220,1,0.0557,1.7110,11.72,557
221,1,0.6866,1.3777,19.46,871
222,1,0.4280,1.5226,19.54,729
223,1,0.4254,1.3593,16.96,757
224,1,0.2323,1.1001,9.64,749
225,1,0.1595,1.1118,10.52,796
226,1,0.2646,1.7443,11.46,567
227,1,0.0510,1.9724,9.92,725
228,1,0.0000,1.3450,11.94,626
229,1,0.1641,1.5202,8.64,963
230,1,0.1921,1.3816,16.28,760
231,1,0.2500,1.0535,10.12,860
232,1,0.4027,1.6010,14.36,827
233,1,0.3146,1.8815,6.40,658
234,1,0.2228,1.2260,12.20,624
235,1,0.4921,1.4324,14.20,636
236,1,0.1615,1.6815,10.86,650
237,1,0.1400,0.9973,11.00,750
238,1,0.2369,1.7631,10.26,629
239,1,0.2844,1.2695,11.08,538
240,1,0.2898,1.7067,7.40,566
241,1,0.2894,1.2976,11.68,615
242,1,0.2179,1.3013,12.50,624
243,1,0.6564,1.4858,19.16,844
244,1,0.1738,1.0390,14.34,794
245,1,0.1230,0.9605,14.86,683
246,1,0.8098,1.3571,20.12,815
247,1,0.4433,1.2313,18.54,934
248,1,0.0873,1.6440,10.10,573
249,1,0.0874,0.9597,9.92,744
250,1,0.6848,1.0803,24.30,1009
251,1,0.0570,1.6179,8.62,649
252,1,0.3507,1.6322,22.30,1286
253,1,0.2896,1.3264,15.42,625
254,1,0.5366,0.9720,14.34,930
255,1,0.0247,1.5470,12.68,649
256,1,0.8003,1.9707,18.38,751
257,1,0.3108,1.2804,13.68,756
258,1,0.3665,1.7039,16.44,753
259,1,0.0777,1.9011,15.76,1415
260,1,0.4472,1.1420,13.10,852
261,1,0.2496,1.8271,10.32,561
262,1,0.2409,1.3708,13.80,685
263,1,0.3067,1.3448,17.74,1050
264,1,0.5451,1.6992,12.42,532
265,1,0.5007,1.0835,9.68,671
266,1,0.0923,1.3464,14.72,661
267,1,0.1594,1.3317,13.92,621
268,1,0.1234,1.1031,12.64,640
269,1,0.4353,0.8333,17.58,804
270,1,0.2650,1.3099,13.68,781
