Wall time,Step,Value
1777206477.673373,10000,-6.4188618659973145
1777206569.247473,20000,-4.7805657386779785
1777206656.7733092,30000,8.364130973815918
1777206748.391328,40000,12.117162704467773
1777206839.0257792,50000,14.03380298614502
1777206928.5125916,60000,14.936724662780762
1777207019.9555488,70000,13.721115112304688
1777207112.577122,80000,15.31568431854248
1777207203.501504,90000,14.735122680664062
1777207302.040249,100000,15.731992721557617
1777207396.1419835,110000,14.986923217773438
1777207490.7703013,120000,15.57338809967041
1777207584.2403996,130000,16.394378662109375
1777207677.5546114,140000,15.925823211669922
1777207772.420006,150000,15.57043170928955
1777207868.1027274,160000,15.315194129943848
1777207964.141999,170000,16.104516983032227
1777208060.6279583,180000,15.822948455810547
1777208157.0784075,190000,16.532426834106445
1777208253.6153781,200000,16.624393463134766
1777208350.882027,210000,16.07403564453125
1777208449.0155115,220000,15.794367790222168
1777208546.6002545,230000,16.273786544799805
1777208644.2993696,240000,16.236888885498047
1777208742.8384166,250000,16.147552490234375
1777208841.3627188,260000,16.06326675415039
1777208938.837525,270000,15.640595436096191
1777209037.0255392,280000,16.203357696533203
1777209135.5557156,290000,15.756030082702637
1777209233.539424,300000,16.264188766479492
1777209332.8509755,310000,15.741227149963379
1777209431.698917,320000,16.110706329345703
1777209530.442593,330000,16.089460372924805
1777209629.9423811,340000,16.412275314331055
1777209728.6921105,350000,16.0970458984375
1777209827.4241974,360000,17.132478713989258
1777209927.2402604,370000,16.54596710205078
1777210026.766545,380000,15.889348983764648
1777210123.9336674,390000,17.32713508605957
1777210223.166395,400000,17.07994270324707
1777210321.5583444,410000,16.024600982666016
1777210421.2875025,420000,16.540884017944336
1777210521.1789675,430000,15.877602577209473
1777210621.2200952,440000,16.414134979248047
1777210720.565315,450000,16.474552154541016
1777210820.0649323,460000,17.275680541992188
1777210921.2461133,470000,16.347986221313477
1777211021.256244,480000,16.732284545898438
1777211122.4492114,490000,16.57779884338379
1777211221.8079689,500000,16.592695236206055
1777211321.725763,510000,16.194847106933594
1777211421.3661878,520000,16.029935836791992
1777211520.8007977,530000,16.865755081176758
1777211619.8576546,540000,16.273513793945312
1777211720.634314,550000,16.723142623901367
1777211820.7812965,560000,16.423952102661133
1777211922.1378253,570000,16.63910484313965
1777212022.1960943,580000,16.263349533081055
1777212122.1282775,590000,16.15418243408203
1777212221.6930218,600000,16.567487716674805
1777212322.4922528,610000,15.756514549255371
1777212422.2694674,620000,17.310501098632812
1777212522.7420685,630000,16.378408432006836
1777212623.1255748,640000,16.553730010986328
1777212723.799972,650000,16.35776710510254
1777212823.7798011,660000,16.333688735961914
1777212923.7100196,670000,16.802532196044922
1777213023.1408477,680000,16.257057189941406
1777213122.4099503,690000,16.724454879760742
1777213223.2639573,700000,16.20875358581543
1777213323.618448,710000,16.355960845947266
1777213424.707492,720000,15.893467903137207
1777213525.2610354,730000,16.124134063720703
1777213626.2433605,740000,16.487504959106445
1777213725.505373,750000,16.23200225830078
1777213825.5947204,760000,16.877490997314453
1777213925.4398885,770000,16.549779891967773
1777214025.9132526,780000,16.368532180786133
1777214125.6811416,790000,16.358989715576172
1777214226.6022816,800000,16.344404220581055
1777214327.3035161,810000,16.836061477661133
1777214428.5264874,820000,16.37848472595215
1777214528.3273318,830000,17.00509262084961
1777214628.2690322,840000,16.376005172729492
1777214728.7667563,850000,16.725852966308594
1777214828.5516436,860000,15.646187782287598
1777214928.3357134,870000,16.03668785095215
1777215028.790559,880000,16.794404983520508
1777215127.871798,890000,16.229503631591797
1777215227.8707478,900000,16.275266647338867
1777215327.608987,910000,16.014089584350586
1777215429.019018,920000,16.086254119873047
1777215529.8581803,930000,16.400583267211914
1777215630.7804189,940000,15.312603950500488
1777215731.3267782,950000,16.490318298339844
1777215831.2339993,960000,16.507890701293945
1777215930.9960034,970000,16.942691802978516
1777216030.1403985,980000,16.51629066467285
1777216130.8224473,990000,16.269126892089844
1777216231.8616626,1000000,16.321456909179688
