Wall time,Step,Value
1774614282.772891,30000,0.0
1774614312.253826,50000,0.0
1774614342.2342832,70000,0.0
1774614355.1098614,80000,0.0
1774614382.5419874,100000,0.0
1774614414.15751,120000,0.1446000039577484
1774614444.6733046,140000,0.3417999744415283
1774614459.9894323,150000,0.0
1774614476.9813898,160000,0.0
1774614491.0145123,170000,0.0
1774614523.9863956,190000,0.0
1774614540.095552,200000,0.0
1774614892.2434037,210000,0.0
1774614908.8646066,220000,0.0
1774614923.4072082,230000,0.0
1774614939.8608987,240000,0.0
1774614969.6548238,260000,0.0
1774614981.9533122,270000,0.0
1774614994.1880887,280000,0.0
1774615003.920934,290000,0.0
1774615027.5944362,310000,0.0
1774615037.368658,320000,0.0
1774615047.9599006,330000,0.0
1774615060.7478132,340000,0.0
1774615071.0957055,350000,0.0
1774615081.9673717,360000,0.21783332526683807
1774615104.151844,380000,0.0
1774615114.8451042,390000,0.0
1774615124.7579532,400000,0.0
1774615134.877133,410000,0.0
1774615450.645099,420000,0.6230000257492065
1774615460.8874857,430000,0.0
1774615471.7700632,440000,0.0
1774615483.4470801,450000,0.0
1774615494.1418598,460000,0.0
1774615504.9148512,470000,0.35135000944137573
1774615516.0879667,480000,0.0
1774615526.6891997,490000,0.5719000101089478
1774615537.2788618,500000,0.0
1774615549.6198206,510000,0.0
1774615560.9452395,520000,0.3019999861717224
1774615572.0293303,530000,0.0
1774615583.990079,540000,0.0
1774615594.4089065,550000,0.25735002756118774
1774615606.2972274,560000,0.0
1774615617.1375878,570000,0.0
1774615627.1337805,580000,0.0
1774615638.6141186,590000,0.0
1774615649.3880074,600000,0.23133333027362823
1774615660.3947484,610000,0.0
1774615989.482859,620000,0.0
1774616001.5696235,630000,0.0
1774616014.3451874,640000,0.319100022315979
1774616024.1615086,650000,0.0
1774616035.0685947,660000,0.0
1774616046.318464,670000,0.0
1774616057.487895,680000,0.0
1774616068.4454212,690000,0.0
1774616079.0182812,700000,0.0
1774616090.8719537,710000,0.0
1774616102.0582528,720000,0.0
1774616112.9546869,730000,0.0
1774616124.6487916,740000,0.0
1774616135.742907,750000,0.0
1774616147.946797,760000,0.0
1774616157.9189188,770000,0.0
1774616168.6004992,780000,0.0
1774616180.269971,790000,0.0
1774616190.8209586,800000,0.0
1774616201.429455,810000,0.0
